Tool,Directory,Filename,Largest,Total,N50
OPERA_MS_POLISH,2118,genome.nextpolish.fasta,534441,190878774,12023
OPERA_MS_POLISH,8366,genome.nextpolish.fasta,1554932,533403974,78749
OPERA_MS_POLISH,5178,genome.nextpolish.fasta,999118,209199436,35428
OPERA_MS_POLISH,3068,genome.nextpolish.fasta,1184687,326292290,4014
OPERA_MS_POLISH,942,genome.nextpolish.fasta,2365085,264512893,52149
OPERA_MS_POLISH,8915,genome.nextpolish.fasta,2338978,555041867,62459
OPERA_MS_POLISH,4143,genome.nextpolish.fasta,1584992,435560262,52237
OPERA_MS_POLISH,934,genome.nextpolish.fasta,1298631,563334031,18239
OPERA_MS_POLISH,8373,genome.nextpolish.fasta,1915733,503004161,39785
raven1.8.3_sr,3068,genome.nextpolish.fasta,2197958,110012488,99191
raven1.8.3_sr,8915,genome.nextpolish.fasta,2400156,367787609,172371
raven1.8.3_sr,4143,genome.nextpolish.fasta,2140688,242153472,145630
raven1.8.3_sr,934,genome.nextpolish.fasta,2233763,154780054,196643
raven1.8.3_sr,2118,genome.nextpolish.fasta,2891673,64862197,275326
raven1.8.3_sr,5178,genome.nextpolish.fasta,2027405,123754193,266917
raven1.8.3_sr,942,genome.nextpolish.fasta,2384195,147677114,253758
raven1.8.3_sr,8366,genome.nextpolish.fasta,2871937,326267520,229473
raven1.8.3_sr,8373,genome.nextpolish.fasta,3519304,252977520,181872
flye2.8.3_sr,8373,genome.nextpolish.fasta,3091967,364269795,229904
flye2.8.3_sr,3068,genome.nextpolish.fasta,2204022,140814075,73884
flye2.8.3_sr,934,genome.nextpolish.fasta,2291597,220549828,186701
flye2.8.3_sr,942,genome.nextpolish.fasta,5291761,214455917,396344
flye2.8.3_sr,4143,genome.nextpolish.fasta,4289197,343717338,172563
flye2.8.3_sr,2118,genome.nextpolish.fasta,2173922,104141257,110309
flye2.8.3_sr,5178,genome.nextpolish.fasta,3396561,180115081,320551
flye2.8.3_sr,8915,genome.nextpolish.fasta,4340322,508488475,238668
flye2.8.3_sr,8366,genome.nextpolish.fasta,4212861,427207571,343468
flye2.9.6_sr,942,genome.nextpolish.fasta,4974949,231074464,296088
flye2.9.6_sr,934,genome.nextpolish.fasta,2294317,282710602,72638
flye2.9.6_sr,3068,genome.nextpolish.fasta,2201834,219630587,25236
flye2.9.6_sr,2118,genome.nextpolish.fasta,2074104,146446304,33450
flye2.9.6_sr,8915,genome.nextpolish.fasta,3572623,573823034,205374
flye2.9.6_sr,4143,genome.nextpolish.fasta,3599896,399136137,127928
flye2.9.6_sr,8366,genome.nextpolish.fasta,3744548,473249919,312483
flye2.9.6_sr,5178,genome.nextpolish.fasta,2996511,213886487,193199
flye2.9.6_sr,8373,genome.nextpolish.fasta,3104432,408490425,180870
raven1.8.3,5178,5178_raven_contigs.fasta,2026535,123662966,266664
raven1.8.3,942,942_raven_contigs.fasta,2381154,147606031,253683
raven1.8.3,8915,8915_raven_contigs.fasta,2393268,367449823,172839
raven1.8.3,4143,4143_raven_contigs.fasta,2140491,241901726,144920
raven1.8.3,2118,2118_raven_contigs.fasta,2891171,64849312,275321
raven1.8.3,8366,8366_raven_contigs.fasta,2871799,325968203,229416
raven1.8.3,934,934_raven_contigs.fasta,2233197,154610047,198072
raven1.8.3,3068,3068_raven_contigs.fasta,2197284,109950083,99137
raven1.8.3,8373,8373_raven_contigs.fasta,3519063,252685057,181802
flye2.9.6,8366,8366_assembly.fasta,3744249,473334904,312329
flye2.9.6,3068,3068_assembly.fasta,2201656,219688657,25171
flye2.9.6,8373,8373_assembly.fasta,3103958,408622443,180860
flye2.9.6,2118,2118_assembly.fasta,2074096,146494257,33463
flye2.9.6,8915,8915_assembly.fasta,3572135,573948977,205342
flye2.9.6,942,0942_assembly.fasta,4974494,231143622,296064
flye2.9.6,934,934_assembly.fasta,2293946,282855006,72592
flye2.9.6,5178,5178_assembly.fasta,2995845,213949623,193179
flye2.9.6,4143,4143_assembly.fasta,3599243,399247233,127755
flye2.8.3,5178,assembly.fasta,3395914,180150738,313655
flye2.8.3,934,assembly.fasta,2291218,220646991,186633
flye2.8.3,8915,assembly.fasta,4340227,508663133,238642
flye2.8.3,3068,assembly.fasta,2203832,140835267,73913
flye2.8.3,8373,assembly.fasta,3091800,364449427,229976
flye2.8.3,942,assembly.fasta,5291575,214555452,395717
flye2.8.3,4143,assembly.fasta,4289053,343864375,172775
flye2.8.3,8366,assembly.fasta,4212596,427327651,343451
flye2.8.3,2118,assembly.fasta,2173980,104176873,110311
MyLoasm_sr,8915,genome.nextpolish.fasta,5724753,696446577,328321
MyLoasm_sr,3068,genome.nextpolish.fasta,2975984,244313587,38452
