"Intersection_Combination","Intersection_Size","Species_List"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MetaMDBG & MetaMDBG_sr & MyLoasm & MyLoasm_sr & OPERA_MS & raven1_8_3 & raven1_8_3_sr",97,"Bacteroides uniformis; Fimenecus sp000432435; Phocaeicola vulgatus; Megasphaera stantonii; Ruminococcoides intestinalis; Odoribacter splanchnicus; Phocaeicola coprocola; Lachnospira eligens_A; Phocaeicola plebeius_A; Phascolarctobacterium faecium; Lachnospira sp000437735; Enterocloster sp000431375; Agathobacter rectalis; Blautia_A wexlerae; Ruminococcus_C sp000980705; Bilophila wadsworthia; Hominimerdicola aceti; Megamonas funiformis; Parabacteroides distasonis; Wujia hominis; CAG-245 sp000434195; UBA11524 sp000437595; Coprococcus aceti; Alistipes putredinis; Roseburia inulinivorans; Jutongia sp003524945; Eubacterium_F sp003491505; Agathobacter faecis; Bifidobacterium adolescentis; CAG-269 sp003525075; Otoolea fessa; Mediterraneibacter torques; Desulfovibrio sp900319575; CAG-492 sp000434335; Anthropogastromicrobium aceti; COE1 sp001916965; Blautia stercoris; Hominisplanchenecus faecis; Pararoseburia lenta; Fusicatenibacter saccharivorans; Parabacteroides merdae; Blautia_A intestinihominis; Escherichia coli; Faecalibacillus intestinalis; CAG-177 sp003514385; Eubacterium_R sp000436835; Pilosibacter fragilis; Eubacterium_I ramulus; Lachnospira hominis; Coprococcus ammoniilyticus; Ruminococcus_C callidus; Hominilimicola fabiformis; Prevotella sp002265625; Dialister hominis; Blautia_A faecis; Coprococcus_A intestinihominis; Gemmiger formicilis; Eubacterium_G ventriosum; Gemmiger qucibialis; Aphodocola sp000434835; Anaerostipes hadrus; Agathobaculum butyriciproducens; Mediterraneibacter lactaris; Duodenibacillus intestinigallinarum; Ruminococcoides intestinale; Parasutterella gallistercoris; CAG-303 sp000437755; CAG-269 sp000437215; Limisoma sp000437795; Acetatifactor acetigignens; CAG-274 sp000432155; Dialister sp000434475; Scybalousia sp900542735; Butyribacter intestini; Roseburia_C amylophila; Bifidobacterium longum; Laedolimicola intestinihominis; Hominenteromicrobium mulieris; Butyribacter hominis; Prevotella sp000434975; Prevotella rara; Coprococcus_A catus; Scatocola faecipullorum; Bacteroides finegoldii; Mediterraneibacter faecis; Dorea formicigenerans; Eubacterium_I ramulus_A; Ruminococcus_C sp000433635; CAG-217 sp000436335; Cryptobacteroides sp900544195; Butyricimonas hominis; UBA10677 sp003533505; CAG-302 sp900543825; CAG-115 sp003531585; CAG-302 sp934162325; Aphodousia faecalis; Prevotella sp015074785"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MetaMDBG & MetaMDBG_sr & MyLoasm & MyLoasm_sr & OPERA_MS",26,"Faecousia intestinalis; Gallintestinimicrobium propionicum; Vescimonas sp000435555; Eubacterium_U album; UMGS1071 sp900542375; Jutongia huaianensis; Hominiventricola aquisgranensis; Lachnospira sp000436475; Lachnospira rogosae; UBA3402 sp003478355; Faecalibacterium prausnitzii_E; Blautia_A obeum; Vescimonas coprocola; CAG-245 sp000435175; Ruthenibacterium lactatiformans; Claveliimonas ammoniilytica; CAG-882 sp900545175; Vescimonas sp003487665; Eubacterium_P hominis; Bacteroides eggerthii; Apopatocola sp003522945; QAKL01 sp003343815; RGIG3102 sp934526065; CAG-269 sp000431335; CAG-465 sp000433335; Enterocloster sp001517625"
"HybridSPAdes & OPERA_MS",25,"Bacteroides fragilis; Enterenecus sp900549885; Phil1 sp001940855; CAG-170 sp000432135; CAG-1031 sp000431215; Desulfovibrio piger_A; Akkermansia muciniphila; CAG-177 sp003538135; Vescimonas sp900545495; Paludihabitans sp900543295; Bacteroides clarus; Alistipes_A indistinctus; Alistipes_A hominis; Alistipes finegoldii; Scatosoma sp003150575; CAG-449 sp900551385; Pseudobutyricicoccus sp003477405; Faecousia sp000434635; Hominifimenecus microfluidus; CAG-269 sp001916005; CAG-238 sp900754805; CAG-170 sp000436735; Ruminiclostridium_E siraeum; SFEL01 sp004557245; Haemophilus_D sp902482195"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MetaMDBG & MetaMDBG_sr & MyLoasm & MyLoasm_sr & OPERA_MS & raven1_8_3_sr",15,"Bariatricus comes; Oscillibacter segnis; Angelakisella sp900547385; Hominicoprocola fusiformis; Anaerotignum_A faecicola; CAG-103 sp900543625; Paraprevotella clara; Suilimivivens sp000438155; Mesosutterella multiformis; Bifidobacterium pseudocatenulatum; Gemmiger sp900539695; Acidaminococcus massiliensis; Collinsella sp027671585; Collinsella sp003466125; Prevotella sp900553595"
"HybridSPAdes & MyLoasm_sr & OPERA_MS",14,"Barnesiella intestinihominis; Butyricimonas virosa; Ventricola sp900542395; CAG-170 sp900545925; Pseudobutyricicoccus sp016901775; Butyricimonas faecalis; Vescimonas sp900545585; Alitiscatomonas aceti; Pseudoscillospira sp018369915; CAG-448 sp003150135; Victivallis lenta; Alangreenwoodia sp019420525; Ventricola sp900542445; Fusobacterium_A varium"
"flye2_9_6_sr & HybridSPAdes & MyLoasm_sr & OPERA_MS",7,"Alistipes onderdonkii; Bacteroides ovatus; CAG-238 sp900542245; Oscillibacter faecalis_A; Vescimonas sp003539495; CAG-274 sp900545305; Vescimonas sp900552475"
"MyLoasm_sr",7,"Lentihominibacter excrementipullorum; Limivivens sp905214955; Oscillibacter sp900550685; Lentihominibacter butyricus; Avimicrobium caecorum; QAMH01 sp900756605; CAG-170 sp900549635"
"OPERA_MS",6,"Bacteroides thetaiotaomicron; CAG-103 sp900757655; Brotaphodocola sp003506385; CAG-345 sp000433315; Roseburia intestinalis; Faecousia sp000435995"
"HybridSPAdes",5,"Bacteroides salyersiae; CAG-196 sp002102975; Butyricimonas faecihominis; Comamonas kerstersii; Lepagella sp001701295"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MetaMDBG & MetaMDBG_sr & MyLoasm & MyLoasm_sr & OPERA_MS & raven1_8_3",4,"Oliverpabstia faecicola; Parasutterella excrementihominis; Roseburia rectibacter; Bacteroides caccae"
"flye2_8_3_sr & flye2_9_6_sr & HybridSPAdes & MyLoasm_sr & OPERA_MS",4,"Sutterella wadsworthensis; Roseburia hominis; Clostridium_A leptum; Anaerotardibacter sp900544455"
"flye2_9_6 & flye2_9_6_sr & MetaMDBG & MetaMDBG_sr & MyLoasm & MyLoasm_sr",4,"Dorea_A longicatena; Blautia_A schinkii_B; Faecalibacillus faecis; Negativibacillus sp000435195"
"flye2_9_6_sr",4,"Bacteroides xylanisolvens; Choladousia sp902363665; Vescimonas sp900550615; Faecousia sp900544405"
"MetaMDBG & MetaMDBG_sr",4,"Streptococcus salivarius_D; Streptococcus hominis; Desulfovibrio fairfieldensis_A; Phocaeicola dorei"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MetaMDBG & MetaMDBG_sr & OPERA_MS",3,"CAG-452 sp000434035; CAG-170 sp002404795; Klebsiella pneumoniae"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & MetaMDBG & MetaMDBG_sr & MyLoasm & MyLoasm_sr",3,"Muricoprocola shaoxingensis; Streptococcus infantarius; Anaerotardibacter sp000435475"
"flye2_8_3_sr",3,"Prevotella copri_L; Streptococcus ilei; Allisonella histaminiformans"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MetaMDBG & MetaMDBG_sr & MyLoasm & MyLoasm_sr",2,"Blautia_A fusiformis; Maccoya intestinihominis"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MetaMDBG & MetaMDBG_sr & MyLoasm & MyLoasm_sr & raven1_8_3 & raven1_8_3_sr",2,"Butyribacter sp003529475; Catenibacterium mitsuokai"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MetaMDBG & MetaMDBG_sr & MyLoasm & MyLoasm_sr & raven1_8_3_sr",2,"Choladousia sp902363135; Collinsella sp027669365"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & HybridSPAdes & OPERA_MS",2,"Phocaeicola massiliensis; Evtepia sp004556345"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & MetaMDBG & MetaMDBG_sr & OPERA_MS",2,"Prevotella copri_A; Prevotella stercorea"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6_sr & HybridSPAdes & MetaMDBG & MetaMDBG_sr & MyLoasm_sr & OPERA_MS",2,"Agathobaculum hominis; Vescimonas cirricatena"
"flye2_8_3 & flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MetaMDBG & MetaMDBG_sr & MyLoasm & MyLoasm_sr & OPERA_MS",2,"Alistipes shahii; Agathobaculum sp900544475"
"flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MetaMDBG & MetaMDBG_sr & MyLoasm & MyLoasm_sr & OPERA_MS",2,"Faecalibacterium longum; Hominiventricola filiformis"
"flye2_8_3_sr & flye2_9_6_sr & MyLoasm & MyLoasm_sr",2,"UMGS1975 sp900546685; Dorea_A longicatena_C"
"flye2_8_3_sr & HybridSPAdes & OPERA_MS",2,"CAG-170 sp937967235; Evtepia excrementipullorum"
"flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MetaMDBG & MetaMDBG_sr & OPERA_MS",2,"CAG-103 sp000432375; Faecalibacterium prausnitzii"
"flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MyLoasm_sr & OPERA_MS",2,"PeH17 sp000435055; Sutterella massiliensis"
"flye2_9_6_sr & HybridSPAdes & MyLoasm & MyLoasm_sr & OPERA_MS",2,"Oscillibacter welbionis; CAG-170 sp900553545"
"HybridSPAdes & MetaMDBG & MetaMDBG_sr & OPERA_MS",2,"Bacteroides hominis; Faecalibacterium taiwanense"
"flye2_8_3",1,"Collinsella sp958444075"
"flye2_8_3 & flye2_8_3_sr",1,"Acetatifactor hominis"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MetaMDBG & MetaMDBG_sr",1,"Faecalimonas sp000209385"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MetaMDBG & MetaMDBG_sr & MyLoasm_sr & OPERA_MS",1,"Alistipes communis"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MetaMDBG & MetaMDBG_sr & MyLoasm_sr & OPERA_MS & raven1_8_3_sr",1,"Acetatifactor intestinalis"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MetaMDBG & MetaMDBG_sr & OPERA_MS & raven1_8_3 & raven1_8_3_sr",1,"Phascolarctobacterium_A succinatutens_B"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MetaMDBG & MetaMDBG_sr & raven1_8_3 & raven1_8_3_sr",1,"Schaedlerella hominis"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MetaMDBG & MyLoasm & MyLoasm_sr & OPERA_MS & raven1_8_3_sr",1,"Eubacterium_G sp000435815"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MetaMDBG_sr & MyLoasm & MyLoasm_sr & OPERA_MS",1,"Mailhella sp944324615"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MyLoasm & MyLoasm_sr & OPERA_MS",1,"CAG-882 sp003486385"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MyLoasm & MyLoasm_sr & OPERA_MS & raven1_8_3_sr",1,"CAG-302 sp000431795"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MyLoasm_sr & OPERA_MS",1,"Hominicoprocola sp900317525"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MyLoasm_sr & OPERA_MS & raven1_8_3 & raven1_8_3_sr",1,"Bacteroides stercoris"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & MetaMDBG & MetaMDBG_sr",1,"Clostridium sp000435835"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & MetaMDBG & MetaMDBG_sr & MyLoasm & MyLoasm_sr & OPERA_MS",1,"Coprococcus sp000433075"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & MetaMDBG & MetaMDBG_sr & MyLoasm & MyLoasm_sr & raven1_8_3 & raven1_8_3_sr",1,"Romboutsia timonensis"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & MetaMDBG & MetaMDBG_sr & MyLoasm & MyLoasm_sr & raven1_8_3_sr",1,"Aveggerthella excrementigallinarum"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & MetaMDBG & MetaMDBG_sr & MyLoasm_sr & raven1_8_3 & raven1_8_3_sr",1,"Holdemanella sp900556915"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & MetaMDBG & MetaMDBG_sr & raven1_8_3 & raven1_8_3_sr",1,"Eubacterium_G segne"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & MetaMDBG & MyLoasm & MyLoasm_sr",1,"Mitsuokella jalaludinii"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & MetaMDBG & MyLoasm & MyLoasm_sr & raven1_8_3 & raven1_8_3_sr",1,"UBA2883 sp900768915"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6 & HybridSPAdes & MetaMDBG & MetaMDBG_sr & MyLoasm & MyLoasm_sr & OPERA_MS",1,"Blautia_A sp005848555"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6 & HybridSPAdes & MetaMDBG & MetaMDBG_sr & MyLoasm & MyLoasm_sr & OPERA_MS & raven1_8_3 & raven1_8_3_sr",1,"Dorea_A amylophila"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6 & HybridSPAdes & MetaMDBG & MetaMDBG_sr & OPERA_MS & raven1_8_3 & raven1_8_3_sr",1,"Prevotella sp900548745"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6 & HybridSPAdes & MetaMDBG & OPERA_MS",1,"Hominicoprocola sp934835795"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6 & HybridSPAdes & MyLoasm",1,"Blautia_A sp900120195"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6 & MetaMDBG & MetaMDBG_sr & MyLoasm",1,"CAG-269 sp001916035"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6 & MetaMDBG & MetaMDBG_sr & MyLoasm & raven1_8_3 & raven1_8_3_sr",1,"Merdicola sp900754085"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6_sr & HybridSPAdes & MetaMDBG & MetaMDBG_sr & MyLoasm & MyLoasm_sr & OPERA_MS & raven1_8_3 & raven1_8_3_sr",1,"Ruminococcoides intestinihominis"
"flye2_8_3 & flye2_8_3_sr & flye2_9_6_sr & HybridSPAdes & MetaMDBG & MyLoasm & MyLoasm_sr & OPERA_MS",1,"Bifidobacterium bifidum"
"flye2_8_3 & flye2_8_3_sr & MetaMDBG & MetaMDBG_sr",1,"Weissella confusa"
"flye2_8_3 & flye2_8_3_sr & MetaMDBG & MetaMDBG_sr & MyLoasm & MyLoasm_sr & raven1_8_3",1,"Enterococcus_B faecium"
"flye2_8_3 & flye2_8_3_sr & MyLoasm_sr",1,"Rothia mucilaginosa_B"
"flye2_8_3 & flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MetaMDBG & MetaMDBG_sr & OPERA_MS & raven1_8_3_sr",1,"Brotaphodocola sp003480315"
"flye2_8_3 & flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MyLoasm_sr & OPERA_MS & raven1_8_3_sr",1,"Evtepia gabavorous"
"flye2_8_3 & flye2_9_6 & flye2_9_6_sr & MyLoasm",1,"Scatousia sp900321895"
"flye2_8_3 & flye2_9_6_sr & MetaMDBG_sr",1,"Enorma massiliensis"
"flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MetaMDBG & MetaMDBG_sr & MyLoasm_sr & OPERA_MS",1,"Otoolea sp000435655"
"flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MetaMDBG & MetaMDBG_sr & MyLoasm_sr & raven1_8_3_sr",1,"Oliverpabstia intestinalis"
"flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MetaMDBG & MetaMDBG_sr & OPERA_MS & raven1_8_3_sr",1,"CAKRPJ01 sp934376955"
"flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MetaMDBG_sr & MyLoasm & MyLoasm_sr & OPERA_MS & raven1_8_3_sr",1,"HGM10766 sp900757295"
"flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MyLoasm_sr & OPERA_MS",1,"Tidjanibacter inops"
"flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MyLoasm_sr & OPERA_MS & raven1_8_3_sr",1,"Onthomonas sp900752305"
"flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & MetaMDBG & MetaMDBG_sr & MyLoasm & MyLoasm_sr",1,"Adlercreutzia equolifaciens"
"flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & MetaMDBG & MetaMDBG_sr & MyLoasm & MyLoasm_sr & raven1_8_3",1,"Lentihominibacter faecis"
"flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & MetaMDBG & MetaMDBG_sr & MyLoasm_sr",1,"Faecalitalea cylindroides"
"flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & MyLoasm",1,"Eubacterium_F sp900539115"
"flye2_8_3_sr & flye2_9_6 & flye2_9_6_sr & MyLoasm & MyLoasm_sr",1,"Clostridium_AP sp000509125"
"flye2_8_3_sr & flye2_9_6 & HybridSPAdes & MetaMDBG & MetaMDBG_sr & MyLoasm_sr & OPERA_MS",1,"Pilosibacter sp900066055"
"flye2_8_3_sr & flye2_9_6_sr & MetaMDBG & MetaMDBG_sr",1,"Sarcina perfringens"
"flye2_8_3_sr & flye2_9_6_sr & MyLoasm_sr",1,"Alangreenwoodia sp905206455"
"flye2_8_3_sr & HybridSPAdes & raven1_8_3 & raven1_8_3_sr",1,"Streptococcus salivarius"
"flye2_8_3_sr & MetaMDBG & MetaMDBG_sr & raven1_8_3 & raven1_8_3_sr",1,"Butyricimonas paravirosa"
"flye2_8_3_sr & MyLoasm_sr",1,"Slackia sp900555495"
"flye2_9_6 & flye2_9_6_sr & HybridSPAdes",1,"Prevotella copri_C"
"flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MetaMDBG & MetaMDBG_sr & MyLoasm & MyLoasm_sr & OPERA_MS",1,"Faecalibacterium duncaniae"
"flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MetaMDBG & MetaMDBG_sr & MyLoasm & MyLoasm_sr & OPERA_MS & raven1_8_3",1,"Bacteroides cellulosilyticus"
"flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MetaMDBG & MetaMDBG_sr & MyLoasm & MyLoasm_sr & OPERA_MS & raven1_8_3 & raven1_8_3_sr",1,"Coprobacillus cateniformis"
"flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MetaMDBG & MetaMDBG_sr & MyLoasm & MyLoasm_sr & OPERA_MS & raven1_8_3_sr",1,"Lawsonibacter sp900549405"
"flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MetaMDBG & MetaMDBG_sr & MyLoasm_sr & OPERA_MS",1,"Neoanaerotignum_A sp934256695"
"flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MetaMDBG & MetaMDBG_sr & MyLoasm_sr & OPERA_MS & raven1_8_3 & raven1_8_3_sr",1,"Eubacterium_R sp000434995"
"flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MetaMDBG & MetaMDBG_sr & OPERA_MS & raven1_8_3 & raven1_8_3_sr",1,"Prevotella sp900313215"
"flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MetaMDBG_sr & MyLoasm & MyLoasm_sr",1,"Faecalibacterium prausnitzii_I"
"flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MetaMDBG_sr & MyLoasm_sr & OPERA_MS",1,"Vescimonas sp000435975"
"flye2_9_6 & flye2_9_6_sr & HybridSPAdes & MyLoasm & MyLoasm_sr & OPERA_MS & raven1_8_3 & raven1_8_3_sr",1,"URXU01 sp900552005"
"flye2_9_6 & flye2_9_6_sr & MetaMDBG & MetaMDBG_sr",1,"Blautia_A sp900551715"
"flye2_9_6 & flye2_9_6_sr & MetaMDBG_sr & MyLoasm",1,"Sellimonas intestinalis"
"flye2_9_6 & flye2_9_6_sr & MyLoasm & MyLoasm_sr",1,"CAG-269 sp001916065"
"flye2_9_6 & flye2_9_6_sr & MyLoasm_sr & raven1_8_3_sr",1,"Pilosibacter sp900066785"
"flye2_9_6 & flye2_9_6_sr & OPERA_MS",1,"Enterocloster sp900541315"
"flye2_9_6 & HybridSPAdes & MetaMDBG & MetaMDBG_sr",1,"Dorea_D hominis"
"flye2_9_6 & HybridSPAdes & MetaMDBG & MetaMDBG_sr & MyLoasm & MyLoasm_sr & raven1_8_3_sr",1,"Lachnospira sp900551945"
"flye2_9_6 & HybridSPAdes & MetaMDBG & MetaMDBG_sr & MyLoasm_sr & OPERA_MS",1,"Blautia_A intestinalis"
"flye2_9_6 & HybridSPAdes & MetaMDBG & MetaMDBG_sr & OPERA_MS",1,"Blautia_A sp003477525"
"flye2_9_6 & MyLoasm_sr",1,"Faecalibacterium sp934514285"
"flye2_9_6_sr & HybridSPAdes & MetaMDBG & MetaMDBG_sr & MyLoasm_sr & OPERA_MS",1,"Lachnospira sp000436535"
"flye2_9_6_sr & HybridSPAdes & MetaMDBG_sr & MyLoasm_sr & OPERA_MS",1,"Anaerobutyricum hallii"
"flye2_9_6_sr & HybridSPAdes & MyLoasm_sr",1,"CAG-433 sp000433675"
"flye2_9_6_sr & HybridSPAdes & OPERA_MS",1,"Faecalibacterium sp900539945"
"flye2_9_6_sr & MetaMDBG_sr",1,"CAG-269 sp900551615"
"flye2_9_6_sr & MyLoasm_sr",1,"Hominibacterium hominis"
"flye2_9_6_sr & OPERA_MS",1,"Hominicoprocola sp900550165"
"HybridSPAdes & MetaMDBG & MetaMDBG_sr & MyLoasm_sr",1,"UBA4285 sp900545225"
"HybridSPAdes & MetaMDBG & MetaMDBG_sr & MyLoasm_sr & OPERA_MS",1,"Gemmiger sp900540595"
"HybridSPAdes & MyLoasm & MyLoasm_sr & OPERA_MS & raven1_8_3 & raven1_8_3_sr",1,"Ruminococcus_B gnavus"
"HybridSPAdes & MyLoasm_sr",1,"Suilimivivens aceti"
"MetaMDBG & MetaMDBG_sr & MyLoasm & MyLoasm_sr & OPERA_MS",1,"Blautia_A sp003471165"
"MetaMDBG & MetaMDBG_sr & MyLoasm & MyLoasm_sr & raven1_8_3 & raven1_8_3_sr",1,"CALXVA01 sp019419955"
"MetaMDBG & MetaMDBG_sr & MyLoasm_sr",1,"Blautia_A acetigignens"
"MetaMDBG & MetaMDBG_sr & raven1_8_3",1,"Streptococcus salivarius_E"
"MetaMDBG & MyLoasm_sr",1,"CAG-269 sp900556345"
"MyLoasm",1,"CAG-433 sp019423565"
"MyLoasm & MyLoasm_sr",1,"Eubacterium_B sulci"
"MyLoasm & raven1_8_3",1,"Collinsella sp958445895"
"raven1_8_3",1,"Prevotella copri_N"
"raven1_8_3_sr",1,"Leuconostoc lactis"
