metaflye_2_8_3_contamination,metaflye_2_8_3_sr_contamination,metaflye_2_9_6_contamination,metaflye_2_9_6_sr_contamination,metaMDBG_contamination,metaMDBG_sr_contamination,myloasm_contamination,myloasm_sr_contamination,opera_ms_contamination,raven_contamination,raven_sr_contamination,hybridspades_contamination
4.77,2.75,1.82,0.53,0.06,3.95,2.55,8.99,2.47,4.66,0.18,0.0
4.68,0.14,3.14,3.21,2.01,0.58,3.76,0.38,2.07,4.21,8.73,0.18
7.63,3.37,8.61,0.37,1.16,2.63,5.53,0.48,1.83,7.27,3.45,0.0
0.51,6.55,4.62,3.67,3.36,2.51,6.02,6.38,0.08,3.9,2.78,0.82
5.43,0.36,3.47,1.83,1.22,6.57,3.65,2.45,8.56,0.29,2.7,3.75
3.35,1.33,4.26,2.75,5.31,7.94,1.41,6.28,0.05,3.22,1.16,0.0
2.13,0.53,6.62,2.42,5.73,4.83,5.27,4.63,8.67,3.7,3.06,4.97
1.23,2.19,1.47,5.91,4.09,8.34,5.78,4.49,0.37,6.81,5.44,1.43
2.51,2.17,2.15,2.28,7.64,7.78,7.6,4.49,0.58,8.83,0.13,8.27
4.41,0.01,6.45,7.56,6.57,1.18,3.7,8.26,7.92,5.82,3.95,1.04
3.07,0.41,1.95,5.38,1.27,7.33,4.27,7.35,1.33,9.9,9.96,7.27
2.29,6.4,2.37,2.84,1.71,3.46,3.25,2.42,4.78,6.57,9.74,0.11
2.48,6.01,3.05,6.14,1.41,4.22,1.79,0.0,0.99,3.95,1.26,0.34
6.26,3.47,7.62,1.97,2.8,3.91,3.84,7.13,4.2,2.03,4.7,7.57
2.27,0.0,1.28,5.49,3.1,4.59,3.14,2.12,0.95,3.03,0.21,0.58
7.38,9.34,4.46,1.48,4.35,4.63,4.55,3.0,3.3,0.84,1.56,0.28
4.07,1.26,2.91,2.85,4.18,3.66,2.95,2.63,1.34,3.07,8.16,0.32
3.82,2.61,2.34,2.13,1.81,5.0,4.03,1.84,1.83,7.2,1.79,2.06
9.65,0.22,5.48,3.95,4.63,3.9,2.79,3.67,2.09,7.12,1.49,1.4
7.34,0.02,1.29,4.23,2.23,0.94,4.84,1.38,2.47,3.72,5.05,6.98
5.65,2.83,2.97,4.52,0.03,0.22,5.33,1.54,1.86,4.62,0.2,1.94
4.14,2.45,1.17,1.46,3.72,4.16,3.63,7.17,0.14,1.72,4.3,0.12
5.0,1.53,5.78,3.35,5.01,4.15,4.06,0.21,0.21,2.07,0.81,1.3
2.89,4.19,2.08,2.17,0.21,1.48,6.83,3.45,1.55,3.44,5.91,0.01
3.93,0.81,3.96,7.34,3.26,1.95,4.13,0.22,1.54,4.04,3.66,0.17
1.46,1.37,6.12,2.93,6.59,7.36,4.11,3.62,9.52,7.7,1.69,6.32
2.2,0.0,0.53,1.76,7.38,1.43,3.53,4.56,0.11,6.66,0.45,5.0
2.98,2.88,5.49,2.19,0.35,2.48,2.57,3.87,0.97,8.54,2.62,3.57
4.52,0.57,0.8,0.58,0.98,0.63,3.23,7.46,2.86,4.48,0.43,0.07
5.33,0.39,9.95,2.44,9.4,0.89,2.08,0.55,3.07,5.16,1.58,1.71
2.58,4.23,2.8,1.44,9.64,0.18,4.32,0.09,1.01,8.13,3.03,3.16
2.28,3.75,0.62,2.87,0.82,2.28,5.86,1.67,0.4,2.86,5.4,2.46
3.39,0.01,0.8,9.85,2.13,4.22,5.44,6.5,2.13,2.03,1.87,0.01
8.77,0.24,2.35,8.37,9.28,1.39,8.82,4.27,0.09,4.35,0.19,0.87
3.07,4.16,1.23,2.85,7.33,2.48,2.23,2.36,3.92,5.31,4.78,2.72
2.01,3.48,1.89,0.82,1.62,0.09,4.35,0.28,0.0,4.19,1.45,3.27
6.37,1.3,4.56,3.73,3.54,1.78,4.57,3.36,0.27,4.21,8.51,0.68
1.63,5.65,0.16,2.66,1.02,1.31,7.13,0.37,0.02,3.28,5.69,2.51
7.79,1.58,0.09,1.77,3.99,0.76,3.5,0.81,0.28,5.38,5.08,0.38
5.93,8.05,3.6,2.72,4.75,4.37,0.24,6.85,6.24,4.65,2.45,7.38
3.07,1.05,1.46,2.47,5.47,0.45,3.48,4.15,4.26,5.27,5.29,3.0
5.2,8.69,4.35,7.41,2.44,2.21,8.43,1.94,0.06,5.6,4.27,3.06
2.44,1.22,2.61,0.28,1.07,3.8,2.39,1.08,3.4,3.71,1.49,1.1
7.72,6.03,1.35,0.0,0.42,2.93,5.95,0.2,0.33,3.86,4.79,2.66
3.76,2.27,1.51,0.07,6.12,1.56,9.5,7.75,0.14,8.02,2.19,0.53
3.56,1.45,5.64,0.45,0.06,1.22,4.3,0.98,7.21,7.74,1.09,1.18
0.19,6.0,4.53,0.24,8.21,2.3,9.4,2.36,0.11,6.33,2.4,1.82
1.31,1.15,1.19,5.02,5.47,4.23,8.31,2.26,0.05,7.32,3.7,1.37
3.7,8.9,2.86,0.27,0.78,2.8,9.03,0.45,2.3,3.61,9.32,4.11
0.75,0.11,2.89,0.07,1.68,0.0,8.85,1.28,0.2,5.37,2.95,0.52
5.08,7.16,4.77,1.31,3.14,5.04,1.31,8.57,0.65,9.9,6.02,2.96
7.1,3.57,5.65,9.81,2.26,0.33,4.61,5.62,2.39,3.1,0.52,0.76
5.46,0.21,2.4,6.94,5.45,0.45,4.27,0.16,3.0,5.27,5.5,0.02
4.45,1.4,0.32,1.5,1.13,3.0,6.22,3.93,0.03,6.18,4.05,0.0
8.8,9.12,3.41,4.05,9.86,4.85,7.04,2.29,1.49,2.75,2.67,4.47
6.91,0.66,6.24,3.45,0.71,1.81,3.23,9.46,0.3,9.4,9.21,1.13
6.35,0.37,9.2,1.87,1.26,5.49,2.57,7.26,0.78,2.64,3.65,2.99
2.26,0.14,4.2,1.34,1.65,9.82,6.58,3.08,3.14,4.98,3.18,1.1
3.61,6.39,2.37,0.11,0.25,0.14,4.3,4.11,0.82,3.06,1.29,2.28
3.0,0.19,1.22,9.84,0.73,0.1,4.07,2.44,0.17,2.38,0.46,6.86
3.81,3.71,4.11,5.67,6.7,0.94,4.2,6.52,6.73,0.84,4.72,0.05
5.58,0.06,7.19,6.77,0.4,0.74,0.02,1.53,9.11,6.23,0.34,8.95
2.57,2.17,4.45,4.24,0.16,1.42,6.46,1.08,0.32,3.28,7.75,2.56
6.45,0.03,2.07,1.02,1.29,6.87,9.07,6.36,1.62,1.58,2.94,3.03
2.65,0.57,8.88,6.7,3.66,6.49,3.28,2.2,1.01,7.98,5.29,4.39
4.73,0.42,3.62,4.64,4.18,0.09,0.09,0.66,6.56,9.44,1.76,1.41
5.57,0.15,0.79,0.78,3.28,3.12,0.64,3.67,0.58,9.19,2.3,2.95
8.69,2.02,2.29,8.91,3.26,6.27,4.81,5.15,0.48,3.99,5.14,2.57
