Tool	Sample	Total_Contigs	Circular_Contigs	Header_Marked	Overlap_Inferred
flye2.8.3	2118	2387	1	0	1
flye2.8.3	3068	4080	1	0	1
flye2.8.3	4143	6013	0	0	0
flye2.8.3	5178	2537	0	0	0
flye2.8.3	8366	6011	0	0	0
flye2.8.3	8373	5302	1	0	1
flye2.8.3	8915	7597	2	0	2
flye2.8.3	934	4143	0	0	0
flye2.8.3	942	2430	1	0	1
flye2.8.3_sr	2118	2387	1	0	1
flye2.8.3_sr	3068	4080	2	0	2
flye2.8.3_sr	4143	6013	0	0	0
flye2.8.3_sr	5178	2537	1	0	1
flye2.8.3_sr	8366	6011	0	0	0
flye2.8.3_sr	8373	5302	0	0	0
flye2.8.3_sr	8915	7597	2	0	2
flye2.8.3_sr	934	4143	0	0	0
flye2.8.3_sr	942	2430	1	0	1
flye2.9.6	0942	3539	0	0	0
flye2.9.6	2118	9487	0	0	0
flye2.9.6	3068	17998	1	0	1
flye2.9.6	4143	11012	4	0	4
flye2.9.6	5178	7265	1	0	1
flye2.9.6	8366	8369	2	0	2
flye2.9.6	8373	9192	3	0	3
flye2.9.6	8915	11999	1	0	1
flye2.9.6	934	15106	2	0	2
flye2.9.6_sr	2118	9487	0	0	0
flye2.9.6_sr	3068	17998	1	0	1
flye2.9.6_sr	4143	11012	4	0	4
flye2.9.6_sr	5178	7265	0	0	0
flye2.9.6_sr	8366	8369	2	0	2
flye2.9.6_sr	8373	9192	3	0	3
flye2.9.6_sr	8915	11999	1	0	1
flye2.9.6_sr	934	15106	2	0	2
flye2.9.6_sr	942	3539	0	0	0
hybridspades	2118	152157	3	0	3
hybridspades	3068	334539	2	0	2
hybridspades	4143	195522	2	0	2
hybridspades	5178	127310	3	0	3
hybridspades	8366	151566	2	0	2
hybridspades	8373	308506	4	0	4
hybridspades	8915	279627	5	0	5
hybridspades	934	364892	6	0	6
hybridspades	942	140683	3	0	3
metamdbg	2118	5934	22	22	0
metamdbg	3068	10136	34	34	0
metamdbg	4143	12832	70	70	0
metamdbg	5178	8562	30	30	0
metamdbg	8366	9271	72	72	0
metamdbg	8373	11423	76	76	0
metamdbg	8915	14167	95	95	0
metamdbg	934	11511	35	35	0
metamdbg	942	5886	44	44	0
metamdbg_sr	2118	5934	0	0	0
metamdbg_sr	3068	10136	0	0	0
metamdbg_sr	4143	12832	1	0	1
metamdbg_sr	5178	8562	4	0	4
metamdbg_sr	8366	9271	0	0	0
metamdbg_sr	8373	11423	15	0	15
metamdbg_sr	8915	14167	0	0	0
metamdbg_sr	934	11511	1	0	1
metamdbg_sr	942	5886	1	0	1
myloasm	2118_	7918	28	28	0
myloasm	3068_	12585	35	35	0
myloasm	4143	10178	69	69	0
myloasm	5178_	5944	32	32	0
myloasm	8366_	6379	88	88	0
myloasm	8373_	9460	61	61	0
myloasm	8915	11165	104	104	0
myloasm	934_	11065	51	51	0
myloasm	942_	5408	36	36	0
myloasm_sr	2118	7918	28	28	0
myloasm_sr	3068	12585	35	35	0
myloasm_sr	4143	10178	69	69	0
myloasm_sr	5178	5944	32	32	0
myloasm_sr	8366	6379	88	88	0
myloasm_sr	8373	9460	61	61	0
myloasm_sr	8915	11165	104	104	0
myloasm_sr	934	11065	51	51	0
myloasm_sr	942	5408	36	36	0
opera_ms	2118	100580	0	0	0
opera_ms	3068	231078	0	0	0
opera_ms	4143	161236	0	0	0
opera_ms	5178	81695	0	0	0
opera_ms	8366	162416	0	0	0
opera_ms	8373	225697	0	0	0
opera_ms	8915	208723	0	0	0
opera_ms	934	312329	0	0	0
opera_ms	942	103738	0	0	0
raven1.8.3	2118	905	0	0	0
raven1.8.3	3068	2144	0	0	0
raven1.8.3	4143	3395	0	0	0
raven1.8.3	5178	1253	0	0	0
raven1.8.3	8366	2952	0	0	0
raven1.8.3	8373	2815	0	0	0
raven1.8.3	8915	4199	0	0	0
raven1.8.3	934	1994	0	0	0
raven1.8.3	942	1353	0	0	0
raven_sr	2118	905	0	0	0
raven_sr	3068	2144	0	0	0
raven_sr	4143	3395	0	0	0
raven_sr	5178	1253	0	0	0
raven_sr	8366	2952	0	0	0
raven_sr	8373	2815	0	0	0
raven_sr	8915	4199	0	0	0
raven_sr	934	1994	0	0	0
raven_sr	942	1353	0	0	0
