Tool,Species,Species_source,Original_16S_copy_number,Assembly_recovered_16S_copy_number,Copy_number_recovery_percent,Original_16S_rRNA_sequence_length_bp,Assembly_16S_rRNA_sequence_length_bp,Assembly_16S_alignment_length_bp,Length_recovery_percent,Mean_percent_identity,Original_16S_rRNA_sequence_lengths_all_bp
flye2_8_3,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,6,7,116.667,1516.2,1512.857,1512.857,99.78,99.849,1516;1516;1516;1516;1516;1517
flye2_8_3_sr,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,6,7,116.667,1516.2,1512.857,1512.857,99.78,99.849,1516;1516;1516;1516;1516;1517
flye2_9_6,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,6,7,116.667,1516.2,1512.429,1512.857,99.78,99.821,1516;1516;1516;1516;1516;1517
flye2_9_6_sr,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,6,7,116.667,1516.2,1513,1512.857,99.78,99.858,1516;1516;1516;1516;1516;1517
raven,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,6,9,150,1516.2,1429.222,1159.111,76.448,99.916,1516;1516;1516;1516;1516;1517
raven_sr,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,6,9,150,1516.2,1429.667,1159.111,76.448,99.929,1516;1516;1516;1516;1516;1517
metamdbg,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,6,8,133.333,1516.2,1389.375,1378.75,90.935,97.254,1516;1516;1516;1516;1516;1517
MetaMDBG_sr,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,6,8,133.333,1516.2,1390.375,1378.75,90.935,97.262,1516;1516;1516;1516;1516;1517
myloasm,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,6,13,216.667,1516.2,1489.538,1459.308,96.248,99.853,1516;1516;1516;1516;1516;1517
myloasm_sr,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,6,13,216.667,1516.2,1489.769,1459.231,96.243,99.883,1516;1516;1516;1516;1516;1517
hybridspades,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,6,10,166.667,1516.2,1373.6,1375.9,90.747,99.1,1516;1516;1516;1516;1516;1517
opera_ms,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,6,16,266.667,1516.2,618.812,618.375,40.785,99.6,1516;1516;1516;1516;1516;1517
flye2_8_3,Veillonella rogosae,Veillonella rogosae,4,4,100,1569.5,1565,1564,99.65,99.936,1571;1570;1570;1567
flye2_8_3_sr,Veillonella rogosae,Veillonella rogosae,4,4,100,1569.5,1565,1564,99.65,99.936,1571;1570;1570;1567
flye2_9_6,Veillonella rogosae,Veillonella rogosae,4,4,100,1569.5,1565,1564,99.65,99.936,1571;1570;1570;1567
flye2_9_6_sr,Veillonella rogosae,Veillonella rogosae,4,4,100,1569.5,1565,1564,99.65,99.936,1571;1570;1570;1567
raven,Veillonella rogosae,Veillonella rogosae,4,4,100,1569.5,1565,1564,99.65,99.936,1571;1570;1570;1567
raven_sr,Veillonella rogosae,Veillonella rogosae,4,4,100,1569.5,1565,1564,99.65,99.936,1571;1570;1570;1567
metamdbg,Veillonella rogosae,Veillonella rogosae,4,4,100,1569.5,1565,1564,99.65,99.936,1571;1570;1570;1567
MetaMDBG_sr,Veillonella rogosae,Veillonella rogosae,4,4,100,1569.5,1565,1564,99.65,99.936,1571;1570;1570;1567
myloasm,Veillonella rogosae,Veillonella rogosae,4,4,100,1569.5,1565,1564,99.65,99.936,1571;1570;1570;1567
myloasm_sr,Veillonella rogosae,Veillonella rogosae,4,4,100,1569.5,1565,1564,99.65,99.936,1571;1570;1570;1567
hybridspades,Veillonella rogosae,Veillonella rogosae,4,2,50,1569.5,1565,1564,99.65,99.936,1571;1570;1570;1567
opera_ms,Veillonella rogosae,Veillonella rogosae,4,8,200,1569.5,813,812,51.736,99.864,1571;1570;1570;1567
flye2_8_3,Roseburia hominis,Roseburia hominis,4,12,300,1532,1539.5,1553,101.371,85.523,1532;1532;1532;1532
flye2_8_3_sr,Roseburia hominis,Roseburia hominis,4,12,300,1532,1539.667,1553.333,101.393,85.544,1532;1532;1532;1532
flye2_9_6,Roseburia hominis,Roseburia hominis,4,9,225,1532,1538.556,1548.778,101.095,87.873,1532;1532;1532;1532
flye2_9_6_sr,Roseburia hominis,Roseburia hominis,4,9,225,1532,1538.556,1549.556,101.146,87.883,1532;1532;1532;1532
raven,Roseburia hominis,Roseburia hominis,4,12,300,1532,1525.417,1524.083,99.483,85.535,1532;1532;1532;1532
raven_sr,Roseburia hominis,Roseburia hominis,4,12,300,1532,1525.25,1523.917,99.472,85.55,1532;1532;1532;1532
metamdbg,Roseburia hominis,Roseburia hominis,4,20,500,1532,1541,1557.6,101.671,82.736,1532;1532;1532;1532
MetaMDBG_sr,Roseburia hominis,Roseburia hominis,4,20,500,1532,1540.85,1557.4,101.658,82.743,1532;1532;1532;1532
myloasm,Roseburia hominis,Roseburia hominis,4,29,725,1532,1541.586,1559.483,101.794,81.432,1532;1532;1532;1532
myloasm_sr,Roseburia hominis,Roseburia hominis,4,29,725,1532,1541.552,1559.552,101.798,81.435,1532;1532;1532;1532
hybridspades,Roseburia hominis,Roseburia hominis,4,6,150,1532,1539.667,1553,101.371,85.505,1532;1532;1532;1532
opera_ms,Roseburia hominis,Roseburia hominis,4,25,625,1532,929.8,931.64,60.812,91.691,1532;1532;1532;1532
flye2_8_3,Bacteroides fragilis,Bacteroides fragilis,6,9,150,1530.8,1531.667,1532,100.078,99.543,1528;1528;1533;1537;1529;1530
flye2_8_3_sr,Bacteroides fragilis,Bacteroides fragilis,6,9,150,1530.8,1530.444,1530.889,100.006,99.724,1528;1528;1533;1537;1529;1530
flye2_9_6,Bacteroides fragilis,Bacteroides fragilis,6,9,150,1530.8,1530.889,1531.778,100.064,99.514,1528;1528;1533;1537;1529;1530
flye2_9_6_sr,Bacteroides fragilis,Bacteroides fragilis,6,9,150,1530.8,1529.778,1530.667,99.991,99.71,1528;1528;1533;1537;1529;1530
raven,Bacteroides fragilis,Bacteroides fragilis,6,10,166.667,1530.8,1512,1430.2,93.428,99.125,1528;1528;1533;1537;1529;1530
raven_sr,Bacteroides fragilis,Bacteroides fragilis,6,10,166.667,1530.8,1512.1,1429.4,93.376,99.595,1528;1528;1533;1537;1529;1530
metamdbg,Bacteroides fragilis,Bacteroides fragilis,6,9,150,1530.8,1530.444,1532.667,100.122,99.464,1528;1528;1533;1537;1529;1530
MetaMDBG_sr,Bacteroides fragilis,Bacteroides fragilis,6,9,150,1530.8,1530,1531,100.013,99.681,1528;1528;1533;1537;1529;1530
myloasm,Bacteroides fragilis,Bacteroides fragilis,6,9,150,1530.8,1530.111,1530.778,99.999,99.565,1528;1528;1533;1537;1529;1530
myloasm_sr,Bacteroides fragilis,Bacteroides fragilis,6,9,150,1530.8,1530.222,1530.667,99.991,99.746,1528;1528;1533;1537;1529;1530
hybridspades,Bacteroides fragilis,Bacteroides fragilis,6,12,200,1530.8,1530.083,1528,99.817,99.591,1528;1528;1533;1537;1529;1530
opera_ms,Bacteroides fragilis,Bacteroides fragilis,6,13,216.667,1530.8,1023.923,1013.385,66.2,98.176,1528;1528;1533;1537;1529;1530
flye2_8_3,Prevotella corporis,Prevotella corporis,4,4,100,1536.2,1539.5,1539.25,100.199,99.253,1536;1536;1536;1537
flye2_8_3_sr,Prevotella corporis,Prevotella corporis,4,4,100,1536.2,1532,1531,99.662,99.836,1536;1536;1536;1537
flye2_9_6,Prevotella corporis,Prevotella corporis,4,4,100,1536.2,1536.5,1537.25,100.068,99.268,1536;1536;1536;1537
flye2_9_6_sr,Prevotella corporis,Prevotella corporis,4,4,100,1536.2,1532,1531,99.662,99.836,1536;1536;1536;1537
raven,Prevotella corporis,Prevotella corporis,4,4,100,1536.2,1533.5,1537.25,100.068,98.944,1536;1536;1536;1537
raven_sr,Prevotella corporis,Prevotella corporis,4,4,100,1536.2,1532.25,1531.25,99.678,99.836,1536;1536;1536;1537
metamdbg,Prevotella corporis,Prevotella corporis,4,5,125,1536.2,1535.2,1537.6,100.091,99.116,1536;1536;1536;1537
MetaMDBG_sr,Prevotella corporis,Prevotella corporis,4,5,125,1536.2,1530.8,1531.8,99.714,99.583,1536;1536;1536;1537
myloasm,Prevotella corporis,Prevotella corporis,4,4,100,1536.2,1535.75,1536.25,100.003,99.349,1536;1536;1536;1537
myloasm_sr,Prevotella corporis,Prevotella corporis,4,4,100,1536.2,1532,1531.25,99.678,99.804,1536;1536;1536;1537
hybridspades,Prevotella corporis,Prevotella corporis,4,0,0,1536.2,,,,,1536;1536;1536;1537
opera_ms,Prevotella corporis,Prevotella corporis,4,8,200,1536.2,858,857.125,55.795,99.578,1536;1536;1536;1537
flye2_8_3,Bifidobacterium adolescentis,Bifidobacterium adolescentis,5,2,40,1535.8,1529.5,1530.5,99.655,99.542,1536;1536;1533;1538;1536
flye2_8_3_sr,Bifidobacterium adolescentis,Bifidobacterium adolescentis,5,2,40,1535.8,1529.5,1530.5,99.655,99.608,1536;1536;1533;1538;1536
flye2_9_6,Bifidobacterium adolescentis,Bifidobacterium adolescentis,5,2,40,1535.8,1530,1529.5,99.59,99.934,1536;1536;1533;1538;1536
flye2_9_6_sr,Bifidobacterium adolescentis,Bifidobacterium adolescentis,5,2,40,1535.8,1530,1529.5,99.59,99.934,1536;1536;1533;1538;1536
raven,Bifidobacterium adolescentis,Bifidobacterium adolescentis,5,1,20,1535.8,1523,1530,99.622,98.627,1536;1536;1533;1538;1536
raven_sr,Bifidobacterium adolescentis,Bifidobacterium adolescentis,5,1,20,1535.8,1526,1528,99.492,99.28,1536;1536;1533;1538;1536
metamdbg,Bifidobacterium adolescentis,Bifidobacterium adolescentis,5,2,40,1535.8,1527.5,1529.5,99.59,99.772,1536;1536;1533;1538;1536
MetaMDBG_sr,Bifidobacterium adolescentis,Bifidobacterium adolescentis,5,2,40,1535.8,1530,1529.5,99.59,99.934,1536;1536;1533;1538;1536
myloasm,Bifidobacterium adolescentis,Bifidobacterium adolescentis,5,2,40,1535.8,1530,1529.5,99.59,99.902,1536;1536;1533;1538;1536
myloasm_sr,Bifidobacterium adolescentis,Bifidobacterium adolescentis,5,2,40,1535.8,1530,1529.5,99.59,99.934,1536;1536;1533;1538;1536
hybridspades,Bifidobacterium adolescentis,Bifidobacterium adolescentis,5,3,60,1535.8,964.333,959,62.443,96.855,1536;1536;1533;1538;1536
opera_ms,Bifidobacterium adolescentis,Bifidobacterium adolescentis,5,13,260,1535.8,339.231,337.692,21.988,98.376,1536;1536;1533;1538;1536
flye2_8_3,Fusobacterium nucleatum,Fusobacterium nucleatum,5,5,100,1525,1533.4,1531,100.393,99.961,1525;1525;1525;1525;1525
flye2_8_3_sr,Fusobacterium nucleatum,Fusobacterium nucleatum,5,5,100,1525,1533.4,1531,100.393,99.975,1525;1525;1525;1525;1525
flye2_9_6,Fusobacterium nucleatum,Fusobacterium nucleatum,5,4,80,1525,1520.25,1519.25,99.623,99.983,1525;1525;1525;1525;1525
flye2_9_6_sr,Fusobacterium nucleatum,Fusobacterium nucleatum,5,4,80,1525,1520.25,1519.25,99.623,99.983,1525;1525;1525;1525;1525
raven,Fusobacterium nucleatum,Fusobacterium nucleatum,5,4,80,1525,1504.5,1356.75,88.967,99.983,1525;1525;1525;1525;1525
raven_sr,Fusobacterium nucleatum,Fusobacterium nucleatum,5,4,80,1525,1504.25,1356.5,88.951,100,1525;1525;1525;1525;1525
metamdbg,Fusobacterium nucleatum,Fusobacterium nucleatum,5,4,80,1525,1536.75,1534,100.59,99.968,1525;1525;1525;1525;1525
MetaMDBG_sr,Fusobacterium nucleatum,Fusobacterium nucleatum,5,4,80,1525,1536.75,1534,100.59,99.968,1525;1525;1525;1525;1525
