Assemblies	flye2.8.3	flye2.8.3_sr	flye2.9.6	flye2.9.6_sr	hybridspades	metamdbg	MetaMDBG_sr	myloasm	myloasm_sr	opera_ms	raven	raven_sr
Fusobacterium_nucleatum	10.96	1.43	36.04	1.39	4.54	12.49	5.09	31.67	29.9	5.33	26.83	2.86
Candida_albican	82.79	108.43	86.6	112.13	132.77	80.46	108.28	82.58	108.78	128.65	293.39	218.88
Escherichia_coli_b2207	47.11	32.01	53.02	35.74	27.5	40.29	32.29	35.09	28.22	42.91	58.46	32.94
Escherichia_coli_JM109	35.24	20.49	41.67	23.25	18.57	34.25	25.48	28.71	22.04	37.13	46.6	20.14
Clostridioides_difficile	18.82	4.95	37.87	5.4	2.88	11.5	5.29	11.72	5.35	3.84	15.64	3.54
Saccharomyces_cerevisiae	71.0	117.32	77.12	122.72	137.7	81.14	125.11	88.04	124.85	135.85	153.61	163.59
Prevotella_corporis	121.87	27.06	105.82	26.67	26.14	133.73	34.06	128.13	28.6	41.4	132.53	29.91
Akkermansia_muciniphila	26.07	4.36	41.79	4.0	4.36	32.53	9.27	30.2	5.69	5.08	68.1	10.68
Faecalibacterium_prausnitzii	10.31	4.85	29.82	8.39	7.37	11.65	6.64	23.76	19.59	14.83	68.93	25.6
Escherichia_coli_B766	48.08	32.91	56.03	36.56	26.87	36.68	27.38	34.24	26.92	43.39	64.62	34.2
Clostridium_perfringens	982.8	922.31	950.57	987.47	997.09	556.36	586.91	782.83	904.21	656.38	873.57	968.84
Bacteroides_fragilis	123.72	8.46	104.83	9.16	6.69	122.8	9.42	97.77	11.13	12.0	133.57	10.1
Roseburia_hominis	10.32	4.18	21.32	3.78	4.49	9.13	4.38	9.9	5.08	5.89	21.88	7.3
Escherichia_coli_B1109	32.51	18.25	42.11	24.48	18.96	32.79	24.47	26.94	20.22	32.94	47.91	21.81
Lactobacillus_fermentum	12.14	1.26	28.82	1.11	3.06	16.07	3.03	20.61	7.54	2.3	65.64	14.18
Salmonella_enterica	419.86	394.52	423.26	378.8	337.86	440.06	404.97	503.8	459.38	451.52	430.48	410.64
Bifidobacterium_adolescentis	23.04	3.55	22.08	3.31	1.93	31.32	4.33	22.51	3.44	3.15	332.59	21.9
Methanobrevibacter_smithii	18.98	84.18	18.28	84.12	85.23	18.15	83.59	22.1	86.2	95.0	213.47	143.13
Enterococcus_faecalis	1110.48	1044.51	1081.56	1052.34	729.64	1047.48	992.88	1056.08	1031.96	1033.2	699.43	679.77
Escherichia_coli_B3008	36.75	22.47	46.5	27.34	20.54	32.9	24.68	27.81	20.98	34.4	52.56	25.41
Veillonella_rogosae	4.95	2.63	11.71	2.27	3.02	5.58	3.55	7.27	5.24	8.53	25.24	3.14
