Assemblies	flye2.8.3	flye2.8.3_sr	flye2.9.6	flye2.9.6_sr	hybridspades	metamdbg	MetaMDBG_sr	myloasm	myloasm_sr	opera_ms	raven	raven_sr
Fusobacterium_nucleatum	9.69	9.46	9.59	9.14	34.53	13.24	12.83	15.74	15.57	12.44	14.17	12.61
Candida_albican	237.84	238.72	259.24	265.56	206.65	246.88	254.42	276.71	281.9	293.28	305.87	285.81
Escherichia_coli_b2207	466.1	484.79	521.95	550.41	505.24	803.22	824.62	735.44	731.55	733.61	460.52	520.01
Escherichia_coli_JM109	371.72	388.82	465.62	478.53	359.84	758.21	775.31	698.86	692.53	686.98	353.01	409.82
Clostridioides_difficile	17.02	18.65	17.14	17.04	19.99	25.02	26.4	26.1	26.19	20.77	11.32	12.73
Saccharomyces_cerevisiae	91.27	155.41	94.97	155.28	160.34	100.63	157.41	170.64	197.47	223.39	165.8	197.18
Prevotella_corporis	148.68	125.35	143.4	122.97	197.98	128.9	118.83	147.98	135.66	302.44	153.72	134.01
Akkermansia_muciniphila	10.28	12.02	21.21	9.5	27.11	18.13	15.1	17.41	29.42	12.63	41.52	25.51
Faecalibacterium_prausnitzii	72.28	72.58	68.67	72.18	62.17	79.1	78.59	69.88	69.32	129.33	165.3	165.54
Escherichia_coli_B766	1151.09	1149.94	1161.24	1170.38	1117.69	968.93	977.81	978	973.49	1171.57	1149.29	1135.1
Clostridium_perfringens	7186.73	6739.98	6882.13	6912.27	7561.28	6820.52	6501.13	6767.68	6357.73	7291.11	7134.19	6860.43
Bacteroides_fragilis	209.24	71.23	235.36	75	57.39	209.43	59.73	232.99	74.82	51.22	234.05	55.08
Roseburia_hominis	46.05	46.41	46.88	45.99	71.88	48.59	47.91	52.17	50.57	76.08	60.33	58.16
Escherichia_coli_B1109	402.83	407.97	478.52	497.18	398.28	749.35	780.01	698.87	696.69	670.29	377.48	423.87
Lactobacillus_fermentum	34.9	40.8	34.31	34.61	16.62	53.33	53.43	68.13	68.33	48.91	63.08	62.75
Salmonella_enterica	2849.9	2909.02	2541.25	2532.31	3611.79	1593.16	1597.45	1850.98	1836.86	5845.18	5980.63	5938.05
Bifidobacterium_adolescentis	42.62	15.07	38.89	15.65	15.22	32.96	20.3	30.16	17.25	29.68	323.79	72.43
Methanobrevibacter_smithii	2.43	7.22	1.67	6.36	29.83	0.86	5.94	1.08	6.02	24.31	56.02	23.92
Enterococcus_faecalis	8062.15	8048.17	8023.97	8081.05	8052.53	7829.81	7854.53	7960.64	7967.68	7829.84	6351.61	6664.7
Escherichia_coli_B3008	729.14	736.12	844.53	852.11	753.14	861.84	858.72	770.36	768.4	907.33	735.92	728.46
Veillonella_rogosae	17.75	18.63	11.98	13.32	27.79	28.53	29.95	41.34	41.09	40.22	22.01	21.87
