Sample,format,type,num_seqs,sum_len,min_len,avg_len,max_len,Q1,Q2,Q3,sum_gap,N50,N50_num,Q20(%),Q30(%),AvgQual,GC(%),
25S02882835cp.rmhost_CHM13.1,FASTQ,DNA,125963095,12542305852,30,99.6,100,100,100,100,0,100,1,99.2,96.19,29.02,45.54,
25S02882835cp.rmhost_CHM13.2,FASTQ,DNA,125963095,12542365305,30,99.6,100,100,100,100,0,100,1,98.55,94.13,26.98,45.64,
25S02898343cp.rmhost_CHM13.1,FASTQ,DNA,132767364,13221768886,30,99.6,100,100,100,100,0,100,1,99.19,96.17,28.92,43.05,
25S02898343cp.rmhost_CHM13.2,FASTQ,DNA,132767364,13221685048,30,99.6,100,100,100,100,0,100,1,98.72,94.64,27.41,43.15,
25S02898366cp.rmhost_CHM13.1,FASTQ,DNA,107642883,10714443515,30,99.5,100,100,100,100,0,100,1,99.25,96.41,29.22,44.53,
25S02898366cp.rmhost_CHM13.2,FASTQ,DNA,107642883,10714446656,30,99.5,100,100,100,100,0,100,1,98.75,94.73,27.54,44.63,
25S02898373cp.rmhost_CHM13.1,FASTQ,DNA,117721481,11715726134,30,99.5,100,100,100,100,0,100,1,99.21,96.26,29.05,44.12,
25S02898373cp.rmhost_CHM13.2,FASTQ,DNA,117721481,11715749483,30,99.5,100,100,100,100,0,100,1,98.76,94.78,27.56,44.25,
25S03142121cp.rmhost_CHM13.1,FASTQ,DNA,125209395,12467399888,30,99.6,100,100,100,100,0,100,1,99.2,96.22,29,44.74,
25S03142121cp.rmhost_CHM13.2,FASTQ,DNA,125209395,12467405548,30,99.6,100,100,100,100,0,100,1,98.79,94.9,27.66,44.86,
25S03142725cp.rmhost_CHM13.1,FASTQ,DNA,73616365,7336537361,30,99.7,100,100,100,100,0,100,1,98.89,94.84,27.71,45.22,
25S03142725cp.rmhost_CHM13.2,FASTQ,DNA,73616365,7336578225,30,99.7,100,100,100,100,0,100,1,98.51,93.86,26.77,45.41,
25S03148915cp.rmhost_CHM13.1,FASTQ,DNA,77134033,7674938130,30,99.5,100,100,100,100,0,100,1,99.19,96.16,29,43.73,
25S03148915cp.rmhost_CHM13.2,FASTQ,DNA,77134033,7674919407,30,99.5,100,100,100,100,0,100,1,98.74,94.71,27.47,43.89,
