sample,assembly,largest_length,N50,total_length,contamination,hm_mags
8373_2,hybridspades,2304913,23816,503893156,1.51,104
8373_2,flye_nextpolish,3101419,167380,399217869,1.515,84
8373_2,myloasm_nextpolish,6301179,214724,516136430,1.835,84
8373_2,metamdbg,3354717,156300,376401939,2.535,72
8373_2,metamdbg_nextpolish,3355329,156339,376640539,0.96,84
8373_2,flye,3100952,167300,399437342,3.25,70
8373_2,opera_ms,1163836,62362,497920497,1.775,90
8373_2,myloasm,6301174,215015,515668553,3.245,56
8366_2,hybridspades,2371466,47889,465403993,1.51,94
8366_2,flye_nextpolish,3803048,274001,449101923,1.58,85
8366_2,myloasm_nextpolish,7443962,792471,580558916,1.82,73
8366_2,metamdbg,4388986,382668,457752255,3.25,84
8366_2,metamdbg_nextpolish,4389188,382891,457958247,1.455,88
8366_2,flye,3803064,273983,449224959,3.16,74
8366_2,opera_ms,1626064,119449,522434119,1.495,70
8366_2,myloasm,7442856,792393,580270067,3.56,60
8915_2,hybridspades,1691889,31814,521826476,1.665,108
8915_2,flye_nextpolish,3810857,173319,545236174,1.75,106
8915_2,myloasm_nextpolish,5725440,328389,696790496,2.37,91
8915_2,metamdbg,4236921,207525,525615349,2.58,93
8915_2,metamdbg_nextpolish,4237290,206786,525876708,1.04,119
8915_2,flye,3810551,173310,545411795,3.385,90
8915_2,opera_ms,1646060,96017,534176772,2.08,93
8915_2,myloasm,5724755,328318,696373457,4.48,74
4143_2,hybridspades,2188601,24725,445415906,1.89,93
4143_2,flye_nextpolish,3483015,128651,381501465,1.675,80
4143_2,myloasm_nextpolish,4866387,152003,484082880,2.17,82
4143_2,metamdbg,3467880,120173,356360376,2.53,75
4143_2,metamdbg_nextpolish,3467864,119333,356567775,1.235,82
4143_2,flye,3482821,128755,381666730,3.2,75
4143_2,opera_ms,1587404,55894,445875781,2.01,86
4143_2,myloasm,4865893,151844,483681847,3.775,64
0942_2,hybridspades,2446940,31562,287135199,0.97,49
0942_2,flye_nextpolish,4620885,221170,241211098,0.73,41
0942_2,myloasm_nextpolish,7977000,291846,315349444,0.99,41
0942_2,metamdbg,4987095,320319,236925716,2.17,33
0942_2,metamdbg_nextpolish,4987606,320355,237091413,0.635,38
0942_2,flye,4620597,221155,241352133,2.14,37
0942_2,opera_ms,967653,75824,284205278,1.645,38
0942_2,myloasm,7975904,291654,315075807,2.085,26
