flye_contamination,metamdbg_contamination,myloasm_contamination,flye_nextpolish_contamination,metamdbg_nextpolish_contamination,myloasm_nextpolish_contamination,hybridspades_contamination,opera_ms_contamination
0.95,0.72,0.02,0.96,1.47,1.12,0.48,0.26
3.91,2.12,2.02,3.82,0.01,0.16,0.53,2.65
4.1,4.94,0.64,3.21,4.32,3.98,2.04,0.0
0.63,3.72,4.76,3.34,4.67,1.53,0.51,1.87
0.85,3.99,0.63,2.89,0.4,2.77,2.19,1.29
4.84,0.18,1.02,4.6,0.51,0.79,1.66,3.61
4.45,1.23,1.45,0.05,2.42,0.93,4.63,2.92
4.09,2.63,4.28,0.59,2.02,4.0,3.09,0.12
4.18,0.32,0.17,1.9,1.05,0.31,0.05,1.39
1.96,3.15,1.07,2.16,2.7,0.76,0.19,0.87
3.8,0.74,2.05,4.91,1.15,0.72,3.25,1.32
0.51,1.32,1.75,0.62,2.9,0.38,0.3,0.91
1.77,2.51,3.85,4.28,3.17,1.5,0.12,2.15
3.84,1.17,1.24,0.17,0.25,0.0,0.7,0.88
2.91,0.17,2.66,1.79,2.06,1.98,1.12,2.37
4.45,3.0,0.18,2.18,1.31,4.08,1.67,2.87
0.12,1.2,1.21,1.39,1.62,0.17,4.16,0.57
4.56,1.42,,4.59,0.04,0.24,0.06,0.58
3.42,1.82,,0.9,3.71,0.29,0.39,2.92
2.75,1.19,,1.32,0.13,0.53,0.01,4.64
1.95,3.03,,0.02,2.63,3.33,0.6,1.49
0.01,0.79,,3.56,0.47,0.93,0.27,1.19
1.45,1.85,,1.71,0.48,0.97,0.17,0.24
2.96,1.74,,0.29,1.29,1.96,1.74,1.66
0.98,3.59,,2.57,0.83,0.36,0.99,1.81
0.78,0.06,,0.15,0.17,0.01,0.2,0.42
3.07,2.88,,0.51,0.51,0.46,0.39,0.08
2.09,0.51,,0.53,0.44,2.07,0.11,0.12
0.17,0.03,,2.14,1.82,2.11,0.61,0.43
2.47,0.39,,0.58,0.26,0.55,0.26,0.03
1.12,0.42,,1.32,0.71,4.4,3.53,3.16
1.63,3.55,,4.02,0.31,0.99,0.14,0.37
3.55,0.35,,0.1,1.04,0.44,1.18,1.0
,1.07,,0.77,0.68,,1.53,2.14
,2.04,,0.65,0.58,,0.86,0.33
,2.28,,0.32,0.01,,3.19,1.8
,2.58,,2.42,0.03,,0.16,0.25
,1.94,,0.36,2.73,,2.72,3.51
,,,0.71,0.25,,0.06,0.67
,,,3.09,0.12,,4.27,3.11
,,,3.79,0.36,,1.82,1.09
,,,1.85,0.38,,3.09,4.27
,,,0.17,0.88,,1.44,1.29
,,,0.76,3.31,,,0.66
,,,1.07,2.38,,,2.26
,,,1.91,1.13,,,0.5
,,,1.22,0.37,,,0.8
,,,1.68,2.02,,,0.79
,,,,0.24,,,
,,,,0.76,,,
,,,,0.01,,,
,,,,0.71,,,
,,,,1.66,,,
,,,,0.46,,,
