flye,hybridspades,metaflye_nextpolish,metamdbg,metamdbg_nextpolish,myloasm,myloasm_nextpolish,opera_ms
Anaerostipes hadrus,Anaerostipes hadrus,Anaerostipes hadrus,Bacteroides sp900557355,Bacteroides sp900557355,Bacteroides sp900557355,Bacteroides sp900557355,Anaerostipes hadrus
Butyribacter intestini,Butyribacter intestini,Butyribacter intestini,Anaerostipes hadrus,Anaerostipes hadrus,Anaerostipes hadrus,Anaerostipes hadrus,Blautia_A difficilis
Sarcina perfringens,Sarcina perfringens,Sarcina perfringens,Butyribacter intestini,Butyribacter intestini,Butyribacter intestini,Butyribacter intestini,Butyribacter intestini
Phocaeicola vulgatus,Phocaeicola vulgatus,Faecousia sp900544405,Phocaeicola vulgatus,Sarcina perfringens,Phocaeicola vulgatus,Sarcina perfringens,Phocaeicola vulgatus
CAG-269 sp003525075,Lentihominibacter butyricus,Phocaeicola vulgatus,CAG-269 sp003525075,Phocaeicola vulgatus,CAG-269 sp003525075,Phocaeicola vulgatus,CAG-269 sp003525075
Gallintestinimicrobium propionicum,Lentihominibacter excrementipullorum,CAG-269 sp003525075,Bacteroides finegoldii,CAG-269 sp003525075,Bacteroides finegoldii,Streptococcus thermophilus,Bacteroides finegoldii
Streptococcus salivarius,CAG-269 sp003525075,Lentihominibacter excrementipullorum,Gallintestinimicrobium propionicum,Bacteroides finegoldii,Streptococcus salivarius,Lentihominibacter excrementipullorum,Gallintestinimicrobium propionicum
Blautia_A fusiformis,Bacteroides finegoldii,Gallintestinimicrobium propionicum,Streptococcus salivarius,Gallintestinimicrobium propionicum,Blautia_A fusiformis,CAG-269 sp003525075,Streptococcus salivarius
Ruminococcoides intestinalis,QAMH01 sp900756605,Streptococcus salivarius,Blautia_A fusiformis,Enterocloster sp900541315,Ruminococcoides intestinalis,Lentihominibacter butyricus,Blautia_A fusiformis
Ruminococcoides intestinale,Gallintestinimicrobium propionicum,Blautia_A fusiformis,Ruminococcoides intestinalis,Streptococcus salivarius,Ruminococcoides intestinale,Gallintestinimicrobium propionicum,Ruminococcoides intestinalis
CAG-245 sp000434195,Streptococcus salivarius,Ruminococcoides intestinalis,Ruminococcoides intestinale,Blautia_A fusiformis,CAG-245 sp000434195,Streptococcus salivarius,Ruminococcoides intestinale
Blautia_A sp900066355,Blautia_A fusiformis,Ruminococcoides intestinale,CAG-245 sp000434195,Ruminococcoides intestinalis,Catenibacterium mitsuokai,Blautia_A fusiformis,CAG-245 sp000434195
Catenibacterium mitsuokai,Ruminococcoides intestinalis,CAG-245 sp000434195,Blautia_A sp900066355,Ruminococcoides intestinale,UBA11524 sp000437595,Ruminococcoides intestinalis,Blautia_A sp900066355
UBA11524 sp000437595,Ruminococcoides intestinale,Catenibacterium mitsuokai,Catenibacterium mitsuokai,CAG-245 sp000434195,Angelakisella sp900547385,Ruminococcoides intestinale,Angelakisella sp900547385
Lachnospira rogosae,CAG-245 sp000434195,UBA11524 sp000437595,UBA11524 sp000437595,Blautia_A sp900066355,Lachnospira rogosae,CAG-245 sp000434195,UBA11524 sp000437595
Jutongia huaianensis,Angelakisella sp900547385,Lachnospira rogosae,Lachnospira rogosae,Catenibacterium mitsuokai,Hominilimicola fabiformis,Angelakisella sp900547385,Lachnospira rogosae
Hominilimicola fabiformis,UBA11524 sp000437595,Blautia_A wexlerae,Jutongia huaianensis,Angelakisella sp900547385,Prevotella sp002265625,UBA11524 sp000437595,Blautia_A wexlerae
Prevotella sp002265625,Catenibacterium mitsuokai,Jutongia huaianensis,Hominilimicola fabiformis,UBA11524 sp000437595,Aveggerthella excrementigallinarum,Catenibacterium mitsuokai,Hominilimicola fabiformis
Aveggerthella excrementigallinarum,Lachnospira rogosae,Hominilimicola fabiformis,Prevotella sp002265625,Lachnospira rogosae,UBA4285 sp900545225,Oscillibacter faecalis_A,Prevotella sp002265625
Bifidobacterium pseudocatenulatum,Blautia_A wexlerae,Prevotella sp002265625,Aveggerthella excrementigallinarum,Blautia_A wexlerae,Dorea_A longicatena,Lachnospira rogosae,Aveggerthella excrementigallinarum
Aphodocola sp000434835,Jutongia huaianensis,Ruminococcus_C sp000433635,UBA4285 sp900545225,Jutongia huaianensis,Bifidobacterium pseudocatenulatum,Hominilimicola fabiformis,Dorea_A longicatena
Acetatifactor intestinalis,Hominilimicola fabiformis,UBA4285 sp900545225,Dorea_A longicatena,Hominilimicola fabiformis,Aphodocola sp000434835,UMGS1975 sp959600905,Bifidobacterium pseudocatenulatum
CAG-217 sp000436335,Prevotella sp002265625,Bifidobacterium pseudocatenulatum,Bifidobacterium pseudocatenulatum,Prevotella sp002265625,CAG-217 sp000436335,Butyricimonas faecalis,Aphodocola sp000434835
Lentihominibacter faecis,Aveggerthella excrementigallinarum,Aphodocola sp000434835,Aphodocola sp000434835,Aveggerthella excrementigallinarum,Mediterraneibacter torques,Alistipes finegoldii,Acetatifactor intestinalis
Mediterraneibacter torques,Ruminococcus_C sp000433635,CAG-170 sp900549635,Acetatifactor intestinalis,Vescimonas sp934623575,Lentihominibacter faecis,Dorea_A longicatena,Oliverpabstia tarda
CAG-274 sp000432155,UBA4285 sp900545225,Acetatifactor intestinalis,CAG-217 sp000436335,Ruminococcus_C sp000433635,CAG-274 sp000432155,Alistipes_A indistinctus,CAG-217 sp000436335
Prevotella sp015074785,Bifidobacterium pseudocatenulatum,CAG-217 sp000436335,Lentihominibacter faecis,Alistipes finegoldii,Prevotella sp015074785,Bifidobacterium pseudocatenulatum,Mediterraneibacter torques
Duodenibacillus intestinigallinarum,Aphodocola sp000434835,Mediterraneibacter torques,Mediterraneibacter torques,UBA4285 sp900545225,Duodenibacillus intestinigallinarum,Aphodocola sp000434835,Lentihominibacter faecis
Clostridium sp000435835,Acetatifactor intestinalis,Lentihominibacter faecis,CAG-274 sp000432155,Dorea_A longicatena,UMGS1975 sp900546685,CAG-170 sp900549635,CAG-274 sp000432155
HGM10766 sp900757295,CAG-217 sp000436335,CAG-274 sp000432155,Prevotella sp015074785,Bifidobacterium pseudocatenulatum,HGM10766 sp900757295,CAG-217 sp000436335,Prevotella sp015074785
Wujia hominis,Faecalimonas sp000209385,Prevotella sp015074785,Duodenibacillus intestinigallinarum,Aphodocola sp000434835,Wujia hominis,Oliverpabstia tarda,UMGS1975 sp900546685
Negativibacillus sp000435195,Lentihominibacter faecis,Duodenibacillus intestinigallinarum,Ruminococcus_B gnavus,Acetatifactor intestinalis,Negativibacillus sp000435195,Mediterraneibacter torques,HGM10766 sp900757295
QAKL01 sp003343815,Mediterraneibacter torques,Alistipes onderdonkii,HGM10766 sp900757295,CAG-217 sp000436335,QAKL01 sp003343815,Faecalibacterium sp934514285,Clostridium sp000435835
Phocaeicola coprocola,CAG-274 sp000432155,UMGS1975 sp900546685,Wujia hominis,Lentihominibacter faecis,Phocaeicola coprocola,Lentihominibacter faecis,Wujia hominis
Aphodousia faecalis,Prevotella sp015074785,HGM10766 sp900757295,Negativibacillus sp000435195,Mediterraneibacter torques,Aphodousia faecalis,CAG-274 sp000432155,Rothia mucilaginosa_B
Scybalousia sp900542735,Duodenibacillus intestinigallinarum,Clostridium sp000435835,QAKL01 sp003343815,CAG-274 sp000432155,Roseburia_C amylophila,Prevotella sp015074785,Negativibacillus sp000435195
Alangreenwoodia sp905206455,Ruminococcus_B gnavus,Wujia hominis,Phocaeicola coprocola,Prevotella sp015074785,Scybalousia sp900542735,Duodenibacillus intestinigallinarum,Bacteroides stercoris_A
UBA3402 sp003478355,UMGS1975 sp900546685,Rothia mucilaginosa_B,Aphodousia faecalis,Duodenibacillus intestinigallinarum,UBA3402 sp003478355,Ruminococcus_B gnavus,Phocaeicola coprocola
Lachnospira sp900545725,HGM10766 sp900757295,Negativibacillus sp000435195,Roseburia_C amylophila,Ruminococcus_B gnavus,Eubacterium_P hominis,UMGS1975 sp900546685,Aphodousia faecalis
Eubacterium_P hominis,Wujia hominis,QAKL01 sp003343815,Scybalousia sp900542735,UMGS1975 sp900546685,Blautia stercoris,Clostridium sp000435835,Roseburia_C amylophila
Blautia stercoris,Negativibacillus sp000435195,Phocaeicola coprocola,UBA3402 sp003478355,HGM10766 sp900757295,Leuconostoc lactis,HGM10766 sp900757295,Alangreenwoodia sp905206455
CAKRPJ01 sp934376955,Aphodousia faecalis,Aphodousia faecalis,Lachnospira sp900545725,Clostridium sp000435835,Eubacterium_G ventriosum,Wujia hominis,UBA3402 sp003478355
Alistipes shahii,Roseburia_C amylophila,Scybalousia sp900542735,Weissella confusa,Wujia hominis,Eubacterium_R sp000436835,Negativibacillus sp000435195,Lachnospira sp900545725
Eubacterium_R sp000436835,Scybalousia sp900542735,Brotonthovivens sp905193415,Eubacterium_P hominis,Rothia mucilaginosa_B,Alistipes shahii,QAKL01 sp003343815,Blautia_A sp900551715
Eubacterium_G ventriosum,Brotonthovivens sp905193415,UBA3402 sp003478355,Blautia stercoris,Negativibacillus sp000435195,Cryptobacteroides sp900544195,Blautia_A sp900066335,Eubacterium_P hominis
Onthomonas sp900752305,Alangreenwoodia sp905206455,Allisonella histaminiformans,CAKRPJ01 sp934376955,QAKL01 sp003343815,Bifidobacterium bifidum,Phocaeicola coprocola,Blautia stercoris
Cryptobacteroides sp900544195,UBA3402 sp003478355,Blautia_A sp900551715,Alistipes shahii,Phocaeicola coprocola,Coprococcus_A intestinihominis,Aphodousia faecalis,CAG-269 sp900556345
Bifidobacterium bifidum,Allisonella histaminiformans,Lachnospira sp900545725,Eubacterium_G ventriosum,Aphodousia faecalis,Prevotella sp900553595,Roseburia_C amylophila,CAKRPJ01 sp934376955
Coprococcus_A intestinihominis,Blautia_A sp900551715,Eubacterium_P hominis,Eubacterium_R sp000436835,Roseburia_C amylophila,Mesosutterella multiformis,Scybalousia sp900542735,Butyricimonas paravirosa
Eubacterium_I ramulus_A,Lachnospira sp900545725,Blautia stercoris,Butyricimonas paravirosa,Scybalousia sp900542735,Butyricimonas hominis,Brotonthovivens sp905193415,Eubacterium_G ventriosum
Prevotella sp900553595,Weissella confusa,CAKRPJ01 sp934376955,Leuconostoc lactis,Alangreenwoodia sp905206455,Agathobacter rectalis,Alangreenwoodia sp905206455,Evtepia excrementipullorum
Mesosutterella multiformis,Eubacterium_P hominis,Butyricimonas paravirosa,Onthomonas sp900752305,UBA3402 sp003478355,Ruthenibacterium lactatiformans,UBA3402 sp003478355,Eubacterium_R sp000436835
CAG-882 sp003486385,Blautia stercoris,Eubacterium_R sp000436835,Cryptobacteroides sp900544195,Lachnospira sp900545725,Bacteroides caccae,Allisonella histaminiformans,Leuconostoc lactis
Butyricimonas hominis,CAG-269 sp900556345,Evtepia excrementipullorum,Bifidobacterium bifidum,Blautia_A sp900551715,Hominiventricola aquisgranensis,Blautia_A sp900551715,Onthomonas sp900752305
Agathobacter rectalis,Butyricimonas paravirosa,Eubacterium_G ventriosum,Coprococcus_A intestinihominis,Eubacterium_P hominis,Suilimivivens sp000438155,Eubacterium_P hominis,Alistipes shahii
Ruthenibacterium lactatiformans,Eubacterium_G ventriosum,Alistipes shahii,Eubacterium_I ramulus_A,Blautia stercoris,Bifidobacterium longum,Blautia stercoris,Bifidobacterium bifidum
Coprococcus ammoniilyticus,Evtepia excrementipullorum,Leuconostoc lactis,Prevotella sp900553595,CAG-269 sp900556345,Otoolea fessa,Eubacterium_G ventriosum,Cryptobacteroides sp900544195
Hominiventricola aquisgranensis,Eubacterium_R sp000436835,Onthomonas sp900752305,Mesosutterella multiformis,CAKRPJ01 sp934376955,Bacteroides eggerthii,Eubacterium_R sp000436835,Coprococcus_A intestinihominis
Suilimivivens sp000438155,Alistipes shahii,Bifidobacterium bifidum,CAG-882 sp003486385,Butyricimonas paravirosa,Enterococcus_B faecium,Evtepia excrementipullorum,Eubacterium_I ramulus_A
Acetatifactor hominis,Onthomonas sp900752305,Cryptobacteroides sp900544195,Butyricimonas hominis,Eubacterium_G ventriosum,Scatocola faecipullorum,Avimicrobium caecorum,Prevotella sp900553595
Gemmiger sp900540595,Mediterraneibacter_A butyricigenes,Coprococcus_A intestinihominis,Agathobacter rectalis,Eubacterium_R sp000436835,Desulfovibrio fairfieldensis_A,Cryptobacteroides sp900544195,CAG-882 sp003486385
