sample,bacteria,without_pretreatment_abundance,with_pretreatment_abundance
942,Escherichia coli,0.0400915955862182,0.0238063652480119
942,Phocaeicola dorei,0.0390615157735592,0.0173512705170104
942,Fusicatenibacter saccharivorans,0.0336369228032983,0.0167603323725562
942,Blautia_A wexlerae,0.0320510445305715,0.0206496701600342
942,Blautia_A sp003471165,0.0298945465055096,0.0154216765759337
942,Phocaeicola vulgatus,0.029472139675857,0.0144237147095339
942,Bacteroides caccae,0.0291090180152797,0.0139624211579975
942,Enterocloster sp000431375,0.0275972462038955,0.0136729820668355
942,Blautia_A intestinihominis,0.0248701284264972,0.0116921332867
942,Blautia_A faecis,0.0246700409808723,0.0213069380962133
942,Phocaeicola coprocola,0.023832637967704,0.0107665311930912
942,Ruminococcus_B gnavus,0.023543622768468,0.0115413837600539
942,Mediterraneibacter faecis,0.0221726532336346,0.0113454093754132
942,Blautia_A fusiformis,0.0212611437591237,0.009813794184686
942,Phascolarctobacterium faecium,0.0203866875152842,0.0107122613634984
942,Pilosibacter fragilis,0.0202681171771361,0.0131905835815668
942,Faecalibacillus intestinalis,0.0197790145322765,0.0083937336436763
942,Agathobacter rectalis,0.019475178040772,0.0111102401138459
942,Anaerostipes hadrus,0.0192973225335512,0.0081253994862446
942,Bacteroides stercoris,0.0188897369961684,0.0102931776794206
942,Otoolea fessa,0.0188008092425573,0.0100700683799835
942,Dorea_A sp019421265,0.0184302769358459,0.0075706412281849
942,Prevotella sp015074785,0.0182153681979524,0.0104981970356595
942,Blautia_A obeum,0.0174817142306624,0.0122649814879579
942,Blautia stercoris,0.0172075203236962,0.0089937167597286
942,Eubacterium_I ramulus_A,0.0161552085726345,0.0093705905763438
942,Agathobaculum butyriciproducens,0.0160144062960836,0.009307275775153
942,Gemmiger formicilis,0.0158587827272656,0.0094158154343385
942,Parabacteroides distasonis,0.0155475355896268,0.0162598439440893
942,Dorea formicigenerans,0.0152436990981237,0.0079565600164002
942,Klebsiella pneumoniae,0.0130723797807919,0.0237098855509586
942,Dorea_D hominis,0.0126351516588721,0.0059576212930685
942,Faecalimonas sp000209385,0.0122127448292209,0.0059395313498703
942,Duodenibacillus intestinigallinarum,0.0113753418160526,0.0060691759427861
942,Bacteroides thetaiotaomicron,0.0095819654515666,0.0174899600815244
942,Enterococcus_B faecium,0.0093966992982115,0.0076369710199098
942,Streptococcus salivarius_D,0.0087297411461298,0.0057556169273617
942,Coprococcus_A intestinihominis,0.008322155608747,0.0079083201678736
942,Collinsella sp027669365,0.0078034103793504,0.0036601985069747
942,Brotaphodocola sp003480315,0.007588501641457,0.0075887311713831
942,Bacteroides ovatus,0.0073513609651621,0.0169020369276022
942,Eubacterium_P hominis,0.0065139579519925,0.0086047829809812
942,Anthropogastromicrobium aceti,0.00640279825998,0.0109504456155997
942,Hominilimicola fabiformis,0.0062916385679661,0.0072058273737018
942,Hominiventricola filiformis,0.0061656575836838,0.007076182780784
942,Bacteroides finegoldii,0.0061360149991468,0.0100670533894515
942,Aphodousia faecalis,0.0060026233687301,0.0042209867461005
942,Bifidobacterium pseudocatenulatum,0.0054245929702608,0.0059515913120024
942,Streptococcus salivarius,0.0053578971550525,0.0069133732920078
942,Sarcina perfringens,0.0049354903254013,0.0071606025157072
942,Enterocloster sp001517625,0.0043796918653334,0.0077002858211007
942,Prevotella copri_N,0.0043426386346621,0.0028702709873477
942,Fusobacterium_A varium,0.0039646956818164,0.0066510691156421
942,Bacteroides uniformis,0.0039054105127423,0.0099374087965357
942,UBA3402 sp003478355,0.0035422888521637,0.0071817074494375
942,Pilosibacter sp900066785,0.0033866652833457,0.0061747006114395
942,Streptococcus vestibularis,0.003134703314781,0.0039315476549385
