File,Reads,Bases(Gb),Mean(kb),Max(kb),N50(kb),1-2kb(%),2-3kb(%),3-4kb(%),4-5kb(%),5-6kb(%),6-7kb(%),7-8kb(%),8-9kb(%),9-10kb(%),>=10kb(%)
0942-1_fitted_raw.fastq.gz,549701,2.907,5.29,90.92,8.51,30.6,16.1,10.8,7.9,6.1,4.8,3.9,3.2,2.6,13.9
0942-2_fitted_raw.fastq.gz,3006424,17.471,5.81,122.32,8.53,20.4,16.7,12.7,9.7,7.5,5.8,4.7,3.8,3.1,15.7
4143-1_fitted_raw.fastq.gz,43703,0.131,3,51.9,3.87,50.5,19.5,10.3,5.9,3.8,2.6,1.8,1.2,1,3.3
4143-2_fitted_raw.fastq.gz,6212625,22.953,3.69,123.02,4.87,35.7,21.9,13.2,8.3,5.6,3.9,2.8,2,1.5,5.1
8366-1_fitted_raw.fastq.gz,1034180,4.95,4.79,95.58,9.13,43,16.6,9,5.8,4.2,3.2,2.5,2,1.7,12.1
8366-2_fitted_raw.fastq.gz,4574522,24.054,5.26,135.21,8.68,30.4,19,11.8,7.9,5.5,4.1,3.1,2.5,2.1,13.5
8373-1_fitted_raw.fastq.gz,685648,2.514,3.67,82.76,5.77,49.3,17,9,5.7,3.9,2.9,2.2,1.7,1.4,6.9
8373-2_fitted_raw.fastq.gz,3742105,16.319,4.36,110.55,6.24,32.4,20.2,12.7,8.5,5.9,4.2,3.2,2.4,1.9,8.6
8915-1_fitted_raw.fastq.gz,1350732,4.755,3.52,73.51,5.04,47.4,19.4,9.9,5.9,3.9,2.8,2,1.5,1.2,6
8915-2_fitted_raw.fastq.gz,5957166,25.067,4.21,147.89,5.88,33.4,21.1,12.9,8.3,5.7,4,2.9,2.2,1.7,7.8
