sample,specie,cp_abundance,cz_abundance
25S02882835,Prevotella_copri_clade_A,0.32707134,0.21201166
25S02882835,Phocaeicola_vulgatus,0.089146129,0.066968187
25S02882835,Faecalibacterium_prausnitzii,0.064629948,0.021012196
25S02882835,Alistipes_putredinis,0.054613556,0.016063197
25S02882835,GGB51647_SGB4348,0.043027266,0.064249887
25S02882835,Dialister_hominis,0.036455471,0.032122494
25S02882835,Desulfovibrio_SGB5076,0.030237276,0.031740494
25S02882835,Phocaeicola_dorei,0.02504938,0.017236797
25S02882835,Oscillibacter_sp_ER4,0.01303279,0.0095901981
25S02882835,Klebsiella_pneumoniae,0.01217999,0.0045316991
25S02882835,Mesosutterella_multiformis,0.01214489,0.0063284987
25S02882835,Candidatus_Cibionibacter_quicibialis,0.011146491,0.014241297
25S02882835,GGB3746_SGB5089,0.010601892,0.0071240986
25S02882835,Bacteroides_ovatus,0.010407292,0.0073759985
25S02882835,Bacteroides_caccae,0.0092218926,0.004994699
25S02882835,Parabacteroides_merdae,0.0090723927,0.0055249989
25S02882835,Roseburia_inulinivorans,0.0089183929,0.009755398
25S02882835,Gemmiger_formicilis,0.0080678935,0.026856295
25S02882835,Alistipes_shahii,0.007555894,0.0032445994
25S02882835,Bacteroides_uniformis,0.0074093941,0.0037290993
25S02882835,Blautia_wexlerae,0.0073280941,0.011086098
25S02882835,GGB9699_SGB15216,0.0072192942,0.0045201991
25S02882835,Parabacteroides_distasonis,0.0071022943,0.0043749991
25S02882835,Ruminococcus_torques,0.0069967944,0.041491892
25S02882835,Bacteroides_stercoris,0.0069443944,0.0044072991
25S02882835,Blautia_obeum,0.006278395,0.025247295
25S02882835,Enterobacter_roggenkampii,0.0060044952,0.0025201995
25S02882835,Clostridium_sp_AM22_11AC,0.0058725953,0.0058077988
25S02882835,Vescimonas_coprocola,0.0052593958,0.0043852991
25S02882835,Faecalicatena_fissicatena,0.0050812959,0.020287696
25S02882835,Bilophila_wadsworthia,0.0046559963,0.0019769996
25S02882835,Barnesiella_intestinihominis,0.0044766964,0.0026636995
25S02882835,Clostridiales_bacterium_KLE1615,0.0042742966,0.0038555992
25S02882835,Odoribacter_splanchnicus,0.0042590966,0.0025455995
25S02882835,Bacteroides_thetaiotaomicron,0.0042029966,0.0020475996
25S02882835,Clostridium_fessum,0.0038923969,0.0037961992
25S02882835,Collinsella_aerofaciens,0.003688897,0.023961695
25S02882835,GGB80011_SGB15265,0.0034182973,0.0013912997
25S02882835,Anaerotignum_faecicola,0.0033008974,0.0011074998
25S02882835,Faecalibacterium_SGB15346,0.0032855974,0.0013320997
25S02882835,Lachnospiraceae_bacterium_AM48_27BH,0.0030489976,0.0016687997
25S02882835,Clostridium_sp_AF34_10BH,0.0028906977,0.0021286996
25S02882835,Waltera_intestinalis,0.0028772977,0.0020760996
25S02882835,Butyricimonas_virosa,0.0027643978,0.0019249996
25S02882835,Dorea_longicatena,0.0027621978,0.021994796
25S02882835,Blautia_massiliensis,0.002475898,0.022747095
25S02882835,Firmicutes_bacterium_AF16_15,0.0024161981,0.0040867992
25S02882835,Klebsiella_quasipneumoniae,0.0023760981,0.00084909983
25S02882835,Anaerostipes_hadrus,0.0022696982,0.009821598
25S02882835,Clostridium_sp_AF20_17LB,0.0022576982,0.0017398997
25S02882835,Faecalibacillus_intestinalis,0.0022342982,0.009971598
25S02882835,Dysosmobacter_sp_BX15,0.0022064982,0.0011807998
25S02882835,Clostridiaceae_bacterium_AF18_31LB,0.0021426983,0.0026221995
25S02882835,Klebsiella_variicola,0.0020165984,0.00078639984
25S02882835,Blautia_sp_MSK_20_85,0.0020161984,0.0096942981
25S02882835,Butyricicoccus_sp_AM29_23AC,0.0019965984,0.0016419997
25S02882835,Enterobacter_hormaechei,0.0019649984,0.00086159983
25S02882835,Clostridium_sp_AM33_3,0.0019636984,0.0017653996
25S02882835,Eubacterium_rectale,0.0018934985,0.004851599
25S02882835,Eubacterium_ventriosum,0.0018482985,0.0075426985
25S02882835,Roseburia_hominis,0.0018405985,0.0013262997
25S02882835,Fusicatenibacter_saccharivorans,0.0017915986,0.019857296
25S02882835,Eubacteriales_unclassified_SGB15145,0.0016390987,0.0011569998
25S02882835,Eubacterium_ramulus,0.0016222987,0.005124699
25S02882835,Anaerobutyricum_hallii,0.0016037987,0.0010899998
25S02882835,Dysosmobacter_welbionis,0.0016006987,0.00067159987
25S02882835,Bifidobacterium_adolescentis,0.0014757988,0.012477698
25S02882835,Bifidobacterium_longum,0.0014697988,0.015163397
25S02882835,Lacrimispora_amygdalina,0.0014358989,0.0010813998
25S02882835,Clostridiaceae_bacterium,0.0013980989,0.0025206995
25S02882835,Lawsonibacter_asaccharolyticus,0.0013653989,0.00082789983
25S02882835,Enterobacter_kobei,0.001292899,0.00047349991
25S02882835,Alistipes_onderdonkii,0.001278699,0.00040009992
25S02882835,GGB9642_SGB15119,0.001262499,0.0031419994
25S02882835,GGB9616_SGB15052,0.001255799,0.00063329987
25S02882835,Agathobaculum_butyriciproducens,0.0011551991,0.0025295995
25S02882835,Bifidobacterium_pseudocatenulatum,0.0011509991,0.0068353986
25S02882835,Ruminococcus_sp_AF13_28,0.0011439991,0.0017475997
