sample_name,common_species_number,cz_unique_number,cp_unique_number,cp_shannon,cz_shannon
S1,239,10,41,3.693901581,3.176959639
S2,132,15,49,2.903462624,2.436527149
S3,219,8,43,4.10824797,3.700353341
S4,325,42,77,3.92869445,4.148257009
S5,324,15,77,3.53060667,2.781375408
S6,260,39,26,3.749636044,3.763121538
S7,329,20,41,4.386066558,3.763088692
S8,121,5,81,3.07203811,2.265809668
S9,169,21,32,3.150065338,2.323687289
S10,349,55,33,4.030388036,4.091732963
S11,153,23,51,2.88409819,2.091383907
S12,207,27,42,3.592782071,2.875917705
S13,161,10,52,3.483848463,3.164727404
S14,182,7,36,3.687694947,3.3394641
S15,257,16,41,3.449370547,3.18460767
