genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
flye_4143_SemiBin_260.fa,1_1,0.050000000000000044,average,fastANI,1
flye_nextpolish_4143_SemiBin_249.fa,1_1,0.050000000000000044,average,fastANI,1
hybridspades_4143_SemiBin_36.fa,1_1,0.050000000000000044,average,fastANI,1
metamdbg_4143_SemiBin_25.fa,1_1,0.050000000000000044,average,fastANI,1
metamdbg_nextpolish_4143_SemiBin_43.fa,1_1,0.050000000000000044,average,fastANI,1
myloasm_4143_SemiBin_66.fa,1_1,0.050000000000000044,average,fastANI,1
myloasm_nextpolish_4143_SemiBin_67.fa,1_1,0.050000000000000044,average,fastANI,1
opera_ms_4143_SemiBin_4.fa,1_1,0.050000000000000044,average,fastANI,1
flye_8373_SemiBin_385.fa,2_1,0.050000000000000044,average,fastANI,2
flye_nextpolish_8373_SemiBin_404.fa,2_1,0.050000000000000044,average,fastANI,2
hybridspades_8373_SemiBin_35.fa,2_1,0.050000000000000044,average,fastANI,2
metamdbg_8373_SemiBin_95.fa,2_1,0.050000000000000044,average,fastANI,2
metamdbg_nextpolish_8373_SemiBin_22.fa,2_1,0.050000000000000044,average,fastANI,2
myloasm_8373_SemiBin_134.fa,2_1,0.050000000000000044,average,fastANI,2
myloasm_nextpolish_8373_SemiBin_139.fa,2_1,0.050000000000000044,average,fastANI,2
opera_ms_8373_SemiBin_8.fa,2_1,0.050000000000000044,average,fastANI,2
hybridspades_8373_SemiBin_113.fa,3_1,0.050000000000000044,average,fastANI,3
myloasm_nextpolish_4143_SemiBin_6.fa,3_1,0.050000000000000044,average,fastANI,3
myloasm_nextpolish_8373_SemiBin_208.fa,3_1,0.050000000000000044,average,fastANI,3
opera_ms_8373_SemiBin_126.fa,3_1,0.050000000000000044,average,fastANI,3
flye_8915_SemiBin_146.fa,4_1,0.050000000000000044,average,fastANI,4
flye_nextpolish_8915_SemiBin_60.fa,4_1,0.050000000000000044,average,fastANI,4
hybridspades_8915_SemiBin_93.fa,4_1,0.050000000000000044,average,fastANI,4
metamdbg_8915_SemiBin_396.fa,4_1,0.050000000000000044,average,fastANI,4
metamdbg_nextpolish_8915_SemiBin_408.fa,4_1,0.050000000000000044,average,fastANI,4
myloasm_8915_SemiBin_149.fa,4_1,0.050000000000000044,average,fastANI,4
myloasm_nextpolish_8915_SemiBin_170.fa,4_1,0.050000000000000044,average,fastANI,4
opera_ms_8915_SemiBin_9.fa,4_1,0.050000000000000044,average,fastANI,4
flye_8373_SemiBin_137.fa,5_1,0.050000000000000044,average,fastANI,5
flye_nextpolish_8373_SemiBin_136.fa,5_1,0.050000000000000044,average,fastANI,5
hybridspades_8373_SemiBin_141.fa,5_1,0.050000000000000044,average,fastANI,5
metamdbg_8373_SemiBin_36.fa,5_1,0.050000000000000044,average,fastANI,5
metamdbg_nextpolish_8373_SemiBin_4.fa,5_1,0.050000000000000044,average,fastANI,5
myloasm_8373_SemiBin_96.fa,5_1,0.050000000000000044,average,fastANI,5
myloasm_nextpolish_8373_SemiBin_92.fa,5_1,0.050000000000000044,average,fastANI,5
opera_ms_8373_SemiBin_91.fa,5_1,0.050000000000000044,average,fastANI,5
flye_nextpolish_8373_SemiBin_146.fa,6_1,0.050000000000000044,average,fastANI,6
myloasm_8373_SemiBin_49.fa,6_1,0.050000000000000044,average,fastANI,6
myloasm_nextpolish_8373_SemiBin_2.fa,6_1,0.050000000000000044,average,fastANI,6
metamdbg_nextpolish_8915_SemiBin_38.fa,7_0,0.050000000000000044,average,fastANI,7
flye_8366_SemiBin_45.fa,8_1,0.050000000000000044,average,fastANI,8
flye_nextpolish_8366_SemiBin_12.fa,8_1,0.050000000000000044,average,fastANI,8
hybridspades_8366_SemiBin_80.fa,8_1,0.050000000000000044,average,fastANI,8
hybridspades_8373_SemiBin_44.fa,8_1,0.050000000000000044,average,fastANI,8
metamdbg_8366_SemiBin_263.fa,8_1,0.050000000000000044,average,fastANI,8
metamdbg_8373_SemiBin_241.fa,8_1,0.050000000000000044,average,fastANI,8
metamdbg_nextpolish_8366_SemiBin_270.fa,8_1,0.050000000000000044,average,fastANI,8
metamdbg_nextpolish_8373_SemiBin_268.fa,8_1,0.050000000000000044,average,fastANI,8
myloasm_8366_SemiBin_139.fa,8_1,0.050000000000000044,average,fastANI,8
myloasm_8373_SemiBin_119.fa,8_1,0.050000000000000044,average,fastANI,8
myloasm_nextpolish_8373_SemiBin_116.fa,8_1,0.050000000000000044,average,fastANI,8
opera_ms_8366_SemiBin_17.fa,8_1,0.050000000000000044,average,fastANI,8
opera_ms_8373_SemiBin_33.fa,8_1,0.050000000000000044,average,fastANI,8
flye_8366_SemiBin_70.fa,9_1,0.050000000000000044,average,fastANI,9
flye_8915_SemiBin_8.fa,9_1,0.050000000000000044,average,fastANI,9
flye_nextpolish_8366_SemiBin_13.fa,9_1,0.050000000000000044,average,fastANI,9
flye_nextpolish_8915_SemiBin_57.fa,9_1,0.050000000000000044,average,fastANI,9
hybridspades_8366_SemiBin_213.fa,9_1,0.050000000000000044,average,fastANI,9
metamdbg_8366_SemiBin_75.fa,9_1,0.050000000000000044,average,fastANI,9
