user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	"other_related_references(genome_id,species_name,radius,ANI,AF)"	msa_percent	translation_table	red_value	warnings
flye_0942_SemiBin_199	d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__Phascolarctobacterium faecium	GCF_003269275.1	95	d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__Phascolarctobacterium faecium	98.97	0.895	GCF_003269275.1	95	d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__Phascolarctobacterium faecium	98.97	0.895	d__Bacteria;p__Bacillota;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	"GCA_900551745.1, s__Phascolarctobacterium sp900551745, 95.0, 94.56, 0.797; GCF_900545535.1, s__Phascolarctobacterium sp900545535, 95.0, 85.76, 0.574; GCF_900544795.1, s__Phascolarctobacterium sp900544795, 95.0, 82.04, 0.332"	92.67	11	N/A	N/A
flye_0942_SemiBin_55	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_D;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_D;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	"GCF_014287705.1, s__Dorea_D hominis, 95.0, 97.31, 0.4"	50.64	11	0.95609	N/A
flye_4143_SemiBin_379	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	GCF_000010425.1	95	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	98.13	0.848	GCF_000010425.1	95	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	98.13	0.848	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	"GCF_959020145.1, s__Bifidobacterium sp959020145, 95.0, 94.06, 0.616; GCF_959020155.1, s__Bifidobacterium sp959020155, 95.0, 92.19, 0.499; GCF_959028125.1, s__Bifidobacterium sp959028125, 95.0, 89.87, 0.539; GCF_000770925.1, s__Bifidobacterium ruminantium, 95.0, 89.61, 0.554; GCA_905207115.1, s__Bifidobacterium angulatum_A, 95.0, 88.1, 0.329; GCF_001025215.1, s__Bifidobacterium pseudocatenulatum, 95.0, 84.66, 0.322; GCF_001025195.1, s__Bifidobacterium catenulatum, 95.3, 84.5, 0.34; GCF_000800455.1, s__Bifidobacterium kashiwanohense_A, 95.0, 84.29, 0.3; GCF_002451435.1, s__Bifidobacterium sp002451435, 95.0, 83.98, 0.27; GCF_040095915.1, s__Bifidobacterium hominis, 95.0, 83.72, 0.32; GCA_963598975.1, s__Bifidobacterium sp963598975, 95.0, 82.97, 0.18; GCF_001042595.1, s__Bifidobacterium dentium, 95.0, 82.57, 0.226; GCF_000522505.1, s__Bifidobacterium moukalabense, 95.0, 82.54, 0.236; GCF_001025155.1, s__Bifidobacterium angulatum, 96.72, 82.49, 0.16; GCA_963619615.1, s__Bifidobacterium sp963619615, 95.0, 82.24, 0.198; GCA_963590945.1, s__Bifidobacterium sp963590945, 95.0, 81.73, 0.192; GCF_012932675.1, s__Bifidobacterium erythrocebi, 95.0, 81.63, 0.153; GCA_963595445.1, s__Bifidobacterium sp963595445, 95.0, 81.59, 0.18"	84.95	11	N/A	N/A
flye_8366_SemiBin_14	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	N/A	N/A	N/A	N/A	N/A	GCF_001073155.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis_D	93.86	0.642	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	"GCA_905188195.1, s__Streptococcus parasanguinis_P, 95.0, 94.73, 0.694; GCF_039059645.1, s__Streptococcus parasanguinis_X, 95.7, 94.73, 0.691; GCA_958445905.1, s__Streptococcus sp958445905, 95.53, 94.71, 0.717; GCA_036663675.1, s__Streptococcus sp036663675, 95.48, 94.62, 0.686; GCA_027685415.1, s__Streptococcus sp027685415, 95.68, 94.61, 0.685; GCF_001813505.1, s__Streptococcus sp001813505, 95.59, 94.58, 0.658; GCF_032163505.1, s__Streptococcus parasanguinis_V, 95.65, 94.53, 0.716; GCF_943193075.1, s__Streptococcus caecimuris, 95.77, 94.51, 0.702; GCF_016648925.1, s__Streptococcus sp900766505, 95.4, 94.51, 0.679; GCF_024295625.1, s__Streptococcus sp024295625, 95.35, 94.44, 0.706; GCF_001813105.1, s__Streptococcus sp001813105, 95.24, 94.43, 0.688; GCA_032572035.1, s__Streptococcus parasanguinis_AB, 95.55, 94.41, 0.663; GCF_031582885.1, s__Streptococcus parasanguinis_M, 95.21, 94.4, 0.672; GCF_001813295.1, s__Streptococcus sp001813295, 95.4, 94.33, 0.664; GCF_023109675.1, s__Streptococcus parasanguinis_I, 95.39, 94.29, 0.661; GCF_034134805.1, s__Streptococcus sp034134805, 95.65, 94.27, 0.692; GCF_035544715.1, s__Streptococcus parasanguinis_F, 95.54, 94.27, 0.658; GCF_024463135.1, s__Streptococcus parasanguinis_S, 95.0, 94.27, 0.656; GCA_018366675.1, s__Streptococcus parasanguinis_R, 95.6, 94.21, 0.695; GCF_959025735.1, s__Streptococcus sp959025735, 95.09, 94.17, 0.688; GCF_019929185.1, s__Streptococcus parasanguinis_O, 95.3, 94.16, 0.692; GCF_000507765.1, s__Streptococcus parasanguinis_J, 95.0, 94.15, 0.662; GCF_016648855.1, s__Streptococcus parasanguinis_L, 95.28, 94.14, 0.69; GCF_008727815.1, s__Streptococcus sp008727815, 95.46, 94.14, 0.674; GCA_934215455.1, s__Streptococcus sp934215455, 95.31, 94.11, 0.718; GCA_018377375.1, s__Streptococcus parasanguinis_N, 95.05, 94.11, 0.673; GCA_018499505.1, s__Streptococcus parasanguinis_K, 95.0, 94.05, 0.674; GCF_000963275.1, s__Streptococcus parasanguinis_B, 95.08, 94.01, 0.703; GCF_040226555.1, s__Streptococcus parasanguinis_W, 95.79, 94.01, 0.698; GCF_030545615.1, s__Streptococcus parasanguinis_Z, 95.54, 94.0, 0.679; GCF_001813675.1, s__Streptococcus sp001813675, 95.49, 93.95, 0.664; GCF_015557775.1, s__Streptococcus parasanguinis_AA, 95.46, 93.91, 0.668; GCA_000448565.1, s__Streptococcus sp000448565, 95.0, 93.88, 0.659; GCF_015556095.1, s__Streptococcus parasanguinis_Q, 95.18, 93.87, 0.675; GCA_032477695.1, s__Streptococcus parasanguinis_Y, 95.5, 93.87, 0.668; GCA_902479835.1, s__Streptococcus sp902479835, 95.0, 93.86, 0.72; GCF_034137685.1, s__Streptococcus parasanguinis_C, 95.05, 93.85, 0.698; GCF_001069785.1, s__Streptococcus parasanguinis_T, 95.15, 93.84, 0.659; GCA_030825825.1, s__Streptococcus sp030825825, 95.0, 93.7, 0.688; GCA_902373455.1, s__Streptococcus sp902373455, 95.0, 93.56, 0.706; GCA_916048115.1, s__Streptococcus sp916048115, 95.0, 93.52, 0.65; GCA_902480035.1, s__Streptococcus sp902480035, 95.0, 93.33, 0.682; GCF_001578955.1, s__Streptococcus parasanguinis_U, 95.0, 93.29, 0.602; GCF_000164675.2, s__Streptococcus parasanguinis, 95.0, 93.22, 0.638; GCA_018365265.1, s__Streptococcus parasanguinis_G, 95.0, 93.21, 0.645; GCF_001074805.1, s__Streptococcus parasanguinis_A, 95.0, 93.08, 0.653; GCF_040908565.1, s__Streptococcus parasanguinis_AC, 95.0, 92.13, 0.624; GCA_963554405.1, s__Streptococcus sp963554405, 95.0, 91.79, 0.535; GCA_900755085.1, s__Streptococcus sp900755085, 95.0, 91.56, 0.585; GCF_000314795.2, s__Streptococcus sp000314795, 95.0, 90.84, 0.593; GCF_901875555.1, s__Streptococcus parasanguinis_H, 95.0, 90.68, 0.576; GCA_963543165.1, s__Streptococcus sp963543165, 95.0, 90.51, 0.612; GCA_963540685.1, s__Streptococcus sp963540685, 95.0, 89.86, 0.55; GCF_016642265.1, s__Streptococcus lactarius, 95.0, 87.78, 0.45; GCA_902836505.1, s__Streptococcus sp902836505, 95.0, 86.47, 0.209; GCF_019930045.1, s__Streptococcus australis_D, 95.0, 86.27, 0.275; GCF_001072385.1, s__Streptococcus sp001072385, 95.0, 85.95, 0.276; GCA_902363395.1, s__Streptococcus sp902363395, 95.0, 85.64, 0.273; GCF_004785935.1, s__Streptococcus rubneri, 95.0, 85.34, 0.278; GCF_000479335.1, s__Streptococcus ilei, 95.0, 85.25, 0.301; GCF_030825805.1, s__Streptococcus sp030825805, 95.05, 85.14, 0.266; GCF_015553625.1, s__Streptococcus australis_B, 95.0, 85.08, 0.272; GCF_021341835.1, s__Streptococcus sp021341835, 95.0, 85.04, 0.261; GCF_900636365.1, s__Streptococcus viridans_A, 95.06, 85.03, 0.272; GCF_040226615.1, s__Streptococcus australis_E, 95.0, 85.01, 0.271; GCF_004166885.1, s__Streptococcus sp004166885, 95.0, 85.0, 0.26; GCA_902470035.1, s__Streptococcus sp902470035, 95.0, 84.85, 0.219; GCF_000186465.1, s__Streptococcus australis, 95.0, 84.81, 0.259; GCF_905372335.1, s__Streptococcus sp905372335, 95.05, 84.81, 0.218; GCF_006385805.1, s__Streptococcus xiaochunlingii, 95.0, 84.69, 0.255; GCF_003943615.1, s__Streptococcus australis_C, 95.0, 84.24, 0.259"	48.33	11	0.9976	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
flye_8366_SemiBin_51	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas;s__Butyricimonas paravirosa	GCF_032878955.1	95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas;s__Butyricimonas paravirosa	98.42	0.864	GCF_032878955.1	95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas;s__Butyricimonas paravirosa	98.42	0.864	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	"GCF_033096445.1, s__Butyricimonas faecihominis, 95.05, 96.87, 0.839; GCA_019423345.1, s__Butyricimonas sp019423345, 95.0, 91.52, 0.655; GCA_020743075.1, s__Butyricimonas virosa_A, 95.62, 90.78, 0.624; GCF_025148635.1, s__Butyricimonas virosa, 95.8, 90.43, 0.611; GCA_019117165.1, s__Butyricimonas faecavium, 95.0, 88.13, 0.516; GCF_003991565.1, s__Butyricimonas faecalis, 95.0, 85.45, 0.394; GCA_900761485.1, s__Butyricimonas sp900761485, 95.0, 84.38, 0.354; GCF_003479425.1, s__Butyricimonas sp003479425, 95.0, 80.86, 0.178"	79.27	11	N/A	N/A
flye_8915_SemiBin_0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anthropogastromicrobium;s__Anthropogastromicrobium aceti	GCF_025567095.1	95.11	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anthropogastromicrobium;s__Anthropogastromicrobium aceti	96.96	0.747	GCF_025567095.1	95.11	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anthropogastromicrobium;s__Anthropogastromicrobium aceti	96.96	0.747	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anthropogastromicrobium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	"GCA_934292725.1, s__Anthropogastromicrobium sp934292725, 95.0, 94.56, 0.736; GCA_958446555.1, s__Anthropogastromicrobium sp958446555, 95.0, 90.36, 0.333; GCA_963604075.1, s__Anthropogastromicrobium sp963604075, 95.0, 82.69, 0.151; GCA_963626545.1, s__Anthropogastromicrobium sp963626545, 95.0, 82.59, 0.196; GCA_963605535.1, s__Anthropogastromicrobium chipingensis_A, 95.0, 82.48, 0.178; GCA_963652495.1, s__Anthropogastromicrobium sp963652495, 95.0, 81.76, 0.175"	93.61	11	N/A	N/A
flye_8915_SemiBin_280	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CAG-433;s__	N/A	N/A	N/A	N/A	N/A	GCA_019423565.1	95.49	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CAG-433;s__CAG-433 sp019423565	95.45	0.621	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CAG-433;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	"GCA_000433675.1, s__CAG-433 sp000433675, 95.0, 95.4, 0.747; GCA_900546245.1, s__CAG-433 sp900546245, 95.0, 94.21, 0.588; GCA_934141145.1, s__CAG-433 sp934141145, 95.0, 87.69, 0.275"	75.64	11	0.99836	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
flye_8915_SemiBin_47	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CAG-302;s__CAG-302 sp934162325	GCA_934162325.1	95.42	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CAG-302;s__CAG-302 sp934162325	96.16	0.79	GCA_001916775.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CAG-302;s__CAG-302 sp001916775	95.28	0.721	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CAG-302;s__	taxonomic classification defined by topology and ANI	N/A	"GCA_934182615.1, s__CAG-302 sp934182615, 95.0, 93.2, 0.667; GCA_022009835.1, s__CAG-302 sp900548425, 95.0, 85.8, 0.339; GCA_900554615.1, s__CAG-302 sp900554615, 95.0, 85.8, 0.332; GCA_934132925.1, s__CAG-302 sp934132925, 95.0, 84.6, 0.269; GCA_945948625.1, s__CAG-302 sp945948625, 95.0, 83.31, 0.323; GCA_000431795.1, s__CAG-302 sp000431795, 95.0, 82.22, 0.177"	65.29	11	N/A	N/A
flye_8915_SemiBin_591	d__Bacteria;p__Bacillota;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-245;s__CAG-245 sp000434195	GCA_000434195.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-245;s__CAG-245 sp000434195	96.76	0.85	GCA_000434195.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-245;s__CAG-245 sp000434195	96.76	0.85	d__Bacteria;p__Bacillota;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-245;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	"GCA_934154805.1, s__CAG-245 sp934154805, 95.0, 90.5, 0.579; GCA_963621875.1, s__CAG-245 sp963621875, 95.0, 88.84, 0.511"	88.44	11	N/A	N/A
flye_8915_SemiBin_74	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__CAG-238;s__CAG-238 sp900542245	GCA_900542245.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__CAG-238;s__CAG-238 sp900542245	96.5	0.502	GCA_900542245.1	95	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__CAG-238;s__CAG-238 sp900542245	96.5	0.502	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__CAG-238;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	"GCA_900551415.1, s__CAG-238 sp900551415, 95.0, 88.66, 0.262"	31.43	11	N/A	N/A
