user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
HybridSPAdes_2118_SemiBin_129	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera stantonii	GCF_003367905.1	95.0	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera stantonii	97.35	0.903	GCF_003367905.1	95.0	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera stantonii	97.35	0.903	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900554215.1, s__Megasphaera sp900554215, 95.0, 94.53, 0.681	52.74	11	N/A	N/A
HybridSPAdes_3068_SemiBin_0	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CAG-302;s__CAG-302 sp000431795	GCA_000431795.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CAG-302;s__CAG-302 sp000431795	98.63	0.902	GCA_000431795.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CAG-302;s__CAG-302 sp000431795	98.63	0.902	d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__CAG-302;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_934096105.1, s__CAG-302 sp934096105, 95.0, 94.28, 0.815; GCA_934101345.1, s__CAG-302 sp934101345, 95.0, 94.1, 0.728; GCA_934096555.1, s__CAG-302 sp934096555, 95.11, 93.52, 0.784; GCA_900549325.1, s__CAG-302 sp900549325, 95.0, 92.13, 0.736; GCA_934182615.1, s__CAG-302 sp934182615, 95.0, 81.8, 0.172; GCA_934162325.1, s__CAG-302 sp934162325, 95.42, 81.52, 0.202; GCA_001916775.1, s__CAG-302 sp001916775, 95.0, 81.3, 0.17; GCA_934091055.1, s__CAG-302 sp934091055, 95.0, 81.25, 0.161	87.09	11	N/A	N/A
HybridSPAdes_3068_SemiBin_100	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-138;g__Phil1;s__Phil1 sp001940855	GCA_001940855.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-138;g__Phil1;s__Phil1 sp001940855	97.08	0.929	GCA_001940855.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-138;g__Phil1;s__Phil1 sp001940855	97.08	0.929	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-138;g__Phil1;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_963608365.1, s__Phil1 sp963608365, 95.0, 93.33, 0.753; GCA_902475645.1, s__Phil1 sp902475645, 95.0, 88.56, 0.544; GCA_963643205.1, s__Phil1 sp963643205, 95.0, 82.49, 0.227	81.14	11	N/A	N/A
HybridSPAdes_3068_SemiBin_105	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp000432135	GCA_000432135.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp000432135	98.33	0.873	GCA_000432135.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp000432135	98.33	0.873	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900751035.1, s__CAG-170 sp900751035, 95.0, 91.73, 0.597; GCA_934668295.1, s__CAG-170 sp934668295, 95.0, 90.84, 0.547; GCA_902796245.1, s__CAG-170 sp902796245, 95.0, 90.79, 0.549; GCA_934646185.1, s__CAG-170 sp934646185, 95.0, 90.68, 0.61; GCA_900545925.1, s__CAG-170 sp900545925, 95.0, 90.6, 0.636; GCA_002404795.1, s__CAG-170 sp002404795, 95.0, 86.16, 0.324; GCA_934613505.1, s__CAG-170 sp934613505, 95.0, 85.17, 0.194; GCA_934655875.1, s__CAG-170 sp934655875, 95.0, 84.97, 0.278; GCA_934670025.1, s__CAG-170 sp934670025, 95.0, 83.74, 0.216	54.45	11	N/A	N/A
HybridSPAdes_3068_SemiBin_124	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__Hominicoprocola fusiformis	GCA_020687125.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__Hominicoprocola fusiformis	97.95	0.863	GCA_020687125.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__Hominicoprocola fusiformis	97.95	0.863	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_040095065.1, s__Hominicoprocola sp934835795, 96.51, 96.51, 0.809; GCA_937884915.1, s__Hominicoprocola sp937884915, 95.0, 91.52, 0.56; GCA_963623615.1, s__Hominicoprocola sp963623615, 95.0, 91.47, 0.589; GCA_900552015.1, s__Hominicoprocola sp900552015, 95.0, 90.4, 0.509; GCA_900550165.1, s__Hominicoprocola sp900550165, 95.0, 89.4, 0.467; GCA_037343695.1, s__Hominicoprocola sp037343695, 95.0, 89.0, 0.338; GCA_003522105.1, s__Hominicoprocola sp003522105, 95.0, 88.11, 0.42; GCA_900763705.1, s__Hominicoprocola sp900763705, 95.0, 88.07, 0.369; GCA_934597535.1, s__Hominicoprocola sp934597535, 95.0, 87.92, 0.236; GCA_934636865.1, s__Hominicoprocola sp934636865, 95.0, 87.29, 0.415; GCA_900546295.1, s__Hominicoprocola sp900546295, 95.0, 87.1, 0.396; GCA_002405995.1, s__Hominicoprocola sp002405995, 95.0, 86.53, 0.272; GCA_934561515.1, s__Hominicoprocola sp900556145, 95.0, 86.26, 0.371; GCA_934572445.1, s__Hominicoprocola sp934572445, 95.0, 86.17, 0.289; GCA_934572465.1, s__Hominicoprocola sp934572465, 95.0, 85.87, 0.306; GCA_900768135.1, s__Hominicoprocola sp900768135, 95.0, 84.77, 0.22; GCA_963612845.1, s__Hominicoprocola sp963612845, 95.0, 84.6, 0.163	44.64	11	N/A	N/A
HybridSPAdes_3068_SemiBin_15	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-1031;s__CAG-1031 sp000431215	GCA_000431215.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-1031;s__CAG-1031 sp000431215	97.68	0.818	GCA_000431215.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-1031;s__CAG-1031 sp000431215	97.68	0.818	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-1031;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	91.06	11	N/A	N/A
HybridSPAdes_3068_SemiBin_18	d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio piger_A	GCF_900116045.1	95.0	d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio piger_A	99.08	0.88	GCF_900116045.1	95.0	d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio piger_A	99.08	0.88	d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000156375.1, s__Desulfovibrio piger, 95.0, 93.94, 0.802; GCF_951793255.1, s__Desulfovibrio sp900556755, 95.08, 93.81, 0.768; GCA_937926875.1, s__Desulfovibrio sp937926875, 95.0, 93.19, 0.803; GCF_949282365.1, s__Desulfovibrio sp949282365, 95.0, 90.07, 0.627	93.67	11	N/A	N/A
HybridSPAdes_3068_SemiBin_180	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__CAG-196;s__CAG-196 sp002102975	GCA_900552525.1	95.0	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__CAG-196;s__CAG-196 sp002102975	98.87	0.966	GCA_900552525.1	95.0	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__CAG-196;s__CAG-196 sp002102975	98.87	0.966	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__CAG-196;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	46.27	11	N/A	N/A
HybridSPAdes_3068_SemiBin_183	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas;s__Butyricimonas faecihominis	GCF_033096445.1	95.05	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas;s__Butyricimonas faecihominis	99.15	0.932	GCF_033096445.1	95.05	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas;s__Butyricimonas faecihominis	99.15	0.932	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_032878955.1, s__Butyricimonas paravirosa, 95.0, 95.09, 0.78; GCA_019423345.1, s__Butyricimonas sp019423345, 95.0, 92.56, 0.603; GCF_025148635.1, s__Butyricimonas virosa, 95.8, 92.05, 0.648; GCA_020743075.1, s__Butyricimonas virosa_A, 95.62, 91.44, 0.586; GCA_019117165.1, s__Butyricimonas faecavium, 95.0, 89.14, 0.415; GCF_003991565.1, s__Butyricimonas faecalis, 95.0, 88.65, 0.431; GCA_900761485.1, s__Butyricimonas sp900761485, 95.0, 85.64, 0.243; GCF_003479425.1, s__Butyricimonas sp003479425, 95.0, 84.6, 0.156	52.38	11	N/A	N/A
HybridSPAdes_3068_SemiBin_25	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17;s__PeH17 sp000435055	GCA_000435055.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17;s__PeH17 sp000435055	98.25	0.902	GCA_000435055.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17;s__PeH17 sp000435055	98.25	0.902	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_937894955.1, s__PeH17 sp937894955, 95.0, 93.89, 0.841	94.36	11	N/A	N/A
